"","C08_V_1","C08_V_2","C08_V_3","C08_10_1","C08_10_2","C08_10_3"
"RALGAPA2",1686.46472618168,1515.17109960512,1688.35635756088,4779.3618628819,5007.49494032287,4745.79078341978
"CYBB",28068.2552155003,27193.151042225,27570.0626820272,68667.9096836894,76621.8115817631,84366.2712327746
"NEAT1",20724.2356124378,20554.4311860805,20451.7261364509,8831.70027626353,9471.06646553938,9317.76144305873
"MAN2C1",8658.81166231707,8863.98261022814,8222.06417962866,3506.68162740765,3271.18941366305,3267.48405761073
"CTDSP2",2816.58192905686,2867.00953480327,2789.51419502638,7650.87096909874,7149.19338730414,7025.50856069908
"APAF1",2091.82022854903,2093.2065573291,2105.94830292411,5449.56228046192,5948.31247238964,6092.89674272118
"SORT1",4130.2125112273,4305.72704681364,4064.1333021043,9699.61370901815,9989.49347056263,9779.05331001554
"AP2B1",1601.67689903893,1419.02492126627,1432.66159716924,4436.08847826775,4474.61996958586,4332.96798944032
"CTNNB1",6524.01678165459,6568.05820700386,6424.49146712663,14072.6519737853,14350.2294751106,14167.1757618094
"ARHGAP35",2660.94399978114,2500.95902450112,2675.15824691153,6614.04523597843,6478.63780211833,6571.73775679048
"CD93",1484.36771354007,1281.17678605754,1439.08608863636,4162.87088643199,4419.37774773912,4474.19684001224
"CERS6",355.411987749031,279.171433489935,336.643352877435,1627.62958555148,1830.64224396732,2005.61681285569
"MT-CO3",310072.568292262,298309.156530131,282970.581364473,139041.288722684,138643.528869601,140836.083946071
"TBC1D5",1453.0078322681,1343.72972136234,1340.14892004261,3983.06101830077,4580.85501159882,4453.30499821166
"ARHGEF12",498.273669099131,422.811507152806,551.221367879465,2134.36648664856,2128.10036160361,2278.04642993526
"TLR7",3394.99751696215,3326.88944806263,3358.7241390138,8440.94463209957,9700.53415628737,10016.3846328701
"ARRB1",2276.49508492843,1811.7183484575,1990.30745651583,6581.35253268184,6353.70539271109,6229.11155126097
"PLEKHB2",4034.97139032723,4083.31661017436,3871.3985580905,9608.54117840623,9066.52342555403,9331.96789548312
"CENATAC",2958.28213332281,2884.38535016572,3146.71592059862,938.74762323055,955.265497780533,1006.98677478796
"CLASRP",5197.60995155854,5035.51129203629,5007.24864947849,1756.84360334275,1846.78997035329,1551.84600894709
"CMKLR1",1688.78768034997,1465.36042889945,1516.17998624188,4599.55199475068,4393.88133765601,4677.26554231388
"MAT2A",6031.5504979762,6277.30289660563,6189.35507942979,13242.1016305125,13288.7289353171,13142.6398399089
"WNK1",6340.50340235934,6594.70112389294,6707.1690916802,13987.0282270562,14444.5661924181,14386.1222638795
"HERC1",4357.86201972014,4961.3744798232,4639.76773755885,11260.3010925814,11138.5316849748,11330.8993189626
"PRKCA",4100.01410703947,4691.4701478599,4121.95372530844,10914.6925148746,10729.7392433089,10905.5414199028
"SSH1",4211.5159071176,3951.26041341978,4344.24113007102,10576.0895164457,10255.5060157631,9708.02104789357
"TGFBR2",2446.07073921392,2572.77906133255,2506.83657047281,6011.56541808419,6453.99127237133,6158.07928913899
"MT-ND4",506798.910896771,462860.444787858,466045.4600083,218093.023691527,224631.871635563,230967.667842133
"KIAA0100",4158.08796124683,3966.31945340057,4084.69167479911,9813.25977285866,9092.86971597325,9268.45669640936
"ATP5F1B",10577.5718053282,10185.7029654647,9810.19847030236,22597.663557219,21460.328366954,21633.0843476647
"KLF13",2903.6927103679,2488.21675990199,2609.62843394684,8024.50186391687,7466.19875267081,7070.63493898833
"HUWE1",5690.07623523693,5564.89446674542,5144.732766875,12835.7780323978,12395.5047020721,12335.3790727345
"NDRG1",1715.50165328535,1626.37631792477,1756.45596711242,5128.86242907636,4834.11935175772,4469.1827979801
"SCRN1",3411.25819614021,3376.7001187683,3509.05723934456,7841.57840499549,7574.13355535597,7766.75110778366
"GLB1",1504.11282397057,1425.97524741124,1373.55627567167,3797.80236628678,3855.90708490238,3883.37555389183
"SPTBN1",1485.52919062422,1375.00618901474,1383.83546201908,3867.85815906518,3763.27012826708,3766.38123980858
"IGF2R",2558.73401637619,2858.90082096746,2559.51740050325,7475.73148715274,6746.35010799099,6917.70665700809
"TSC22D3",3953.66799443693,3944.3100872748,3772.46138949676,1312.37851804868,1205.98019693112,1036.23535330877
"ITGA4",1506.43577813887,1583.51597336407,1716.62412001623,4354.35672002628,4618.24974638738,4924.62494923274
"ASCC3",1425.13238224856,1366.89747517893,1406.96363130073,3757.32568601481,4032.68219481195,4349.68146288078
"MLXIPL",2458.84698713954,2353.84378776576,2333.37530086039,747.261789636259,683.303790227357,615.891496281102
"RASSF2",3083.72165841071,2941.14634701637,2996.38282026786,6717.57212975095,6905.27773084238,6959.49034060925
"NCOA4",10061.8759799668,10579.5547803468,10045.3348579992,22599.2203526141,24209.6912542494,26375.5324363964
"ZNF700",2620.29230183599,2513.70128910024,2481.1386046043,839.112717945716,877.926387195099,805.589419830369
"MACF1",10574.0873740757,10500.7844173704,10479.630481177,21240.9163704107,22222.671028439,23271.0047448302
"ATRN",1149.86231330569,1188.50577079117,1214.22888728693,3254.48077340541,3183.65173904438,3195.61612181673
"MYO15B",8763.34459989032,8577.86085059322,8313.29195846185,3484.88649187659,3085.91550039245,2851.31856894317
"TGOLN2",4922.33988261566,4729.69694165728,4686.02407612216,10126.1756472688,10484.9737065111,10220.2890088438
"ZFP36L2",3893.27118606128,4023.08045025122,4058.9937089306,9689.49453895016,9941.05029140472,8844.7701446936
"FLNB",953.572686084818,935.977254190321,1069.03538012987,3244.36160333742,3130.95915820595,2903.96601028064
"XACT",4780.63967834971,4515.3952188538,6310.13551901177,977.667508107438,1259.52265810565,1188.327961617
"HADHA",5372.99299126476,5361.01823315941,5501.93449244724,11911.8199654205,12716.7594691193,13709.2265895407
"C3AR1",4723.7273012265,4757.49824623719,4558.81914507305,9772.7830925867,10163.7189394639,10108.3087367927
"DOCK2",7071.07248828791,6346.80615805541,6649.34866847606,14924.9974525892,14421.6194233433,14991.1500024243
"LRRC37A6P",435.553906555185,426.286670225295,420.161741950081,1570.02815593368,1581.62730548894,1575.24487176374
"FKBP11",2806.12863529954,2711.7855842321,2705.99580595374,846.118297223555,939.117771394564,777.17651498158
"PCYOX1",937.312006906758,1030.96504483835,993.226380817776,2805.34530192612,3053.62004762051,3174.72428001615
"PLXNC1",5920.04869789807,6678.10503763267,6235.6114179931,13915.4156388827,14699.5302932492,15128.2004846361
"CSNK1A1",1263.68706755211,1275.3848476034,1457.07466474432,3681.04271165611,3917.09846910185,4050.51028829647
"USP22",1816.55015960616,1801.29285924004,1837.40455959822,4928.81422080916,4608.90106269024,4413.19266195454
"PLA2G7",486.65889825766,551.392540834892,504.965029316153,1801.99066979994,1910.53099556107,2074.97772763362
"ITGB2-AS1",8583.31565184751,7968.54892521685,7579.61503291599,3431.17705074649,3140.30784190309,3152.16109087153
"MBP",2981.51167500576,2721.05268575874,2628.90190834822,6641.28915539225,6745.50022765489,6731.35142814691
"ITPR2",4369.47679056161,4539.72136036122,4700.15795734984,10610.3390151373,11509.079511516,12707.2538567848
"MT-ATP6",209971.827272123,188017.906098553,180798.038867878,80215.4395266622,84713.5222618063,87388.0672308105
"APP",2732.95557899827,2623.74811972906,2673.8733486181,6218.61920562924,6102.99069356051,5921.58363995643
"TMED10",3647.03804422208,3585.20990311763,3497.49315470374,7675.00129772241,8317.77884944669,8144.47560753815
"TLN1",14611.3817185713,14442.7777292635,13720.1439771956,36700.6730412083,32809.6303752825,31151.407472009
"MT-ND1",190404.422835496,182638.35366234,170251.593675442,84458.4853759406,83796.5013791504,89428.7823378912
"ANKRD12",8973.57195212095,8954.33685011285,9667.57475973215,2663.67692097425,2913.38979216341,3497.29431741711
"MRC1",225.326554324549,266.429168890809,246.700472337662,1124.00627524454,1257.82289743344,1203.37008771341
"ZNF106",5074.49338063894,4491.06907734638,5008.53354777192,11075.8208382649,11348.4521279924,12080.4986027674
"USP9X",2759.66955193365,2585.52132593168,2518.40065511364,6183.59130924004,6817.7400562237,7129.96776970198
"CLEC2D",2425.16415169927,2425.66382459719,2670.01865373783,646.070088956349,716.4491233354,806.425093502392
"GALNT10",1181.22219457766,1282.33517374837,1251.49093779627,3293.4006582823,3351.9280455929,3194.78044814471
"ARHGAP31",2482.07652882248,2505.59257526444,2393.76552065138,5712.66070222969,5776.6366444967,5461.96312034366
"DIP2B",1838.61822420495,1620.58437947062,1625.39634118304,4333.33998219276,4670.09244688971,4780.88907764475
"COPB2",1743.37710330489,1595.09985027237,1638.24532411729,4064.79277654223,4387.08229496718,4463.33308227594
"MTATP6P1",49287.2800657847,47941.032972674,42586.669037289,20936.5628706734,21063.4342499935,21514.4186862374
"ESF1",1771.25255332442,1861.52901916318,2035.27889678572,509.850491887239,532.874970737006,573.272139007918
"LCP1",20626.6715373694,19738.9262517365,18406.1680533178,40050.8967314109,41871.904399156,43277.8681267377
"LRBA",1393.77250097659,1399.33233052216,1270.76441219765,3591.52697643927,3785.36701700578,4155.8051709714
"SLCO2B1",4968.79896598155,4655.56012944418,4296.69989321429,13076.302920937,12183.0346180462,11011.6719762498
"M6PR",4605.25663864349,4309.20220988613,4195.19292803369,9350.89154052122,9459.16814083393,9644.5098488198
"EPB41L2",3316.01707524014,3243.48553432289,3537.32500179992,7991.03076292274,7919.18497181407,9042.8248049631
"MYOF",4079.10751952482,4312.67737295862,4490.71953552151,9401.48739086118,9244.1484157997,9809.9732358804
"BIRC6",3642.39213588549,3695.25673374644,3546.3192898539,7801.10172472353,8251.4881832306,8741.98228303474
"MLEC",4436.84246144215,4458.63422200315,4385.35787546064,9302.63088327388,8921.1938880803,9179.8752871749
"TIFAB",1980.31842847091,1933.34905599461,1865.67232205357,4677.39176450446,4439.77487580561,4571.13498596693
"SCD",19713.7505492297,19586.019076547,19371.1266716802,36946.6467136302,36428.4208464119,38537.0913853501
"KAT2A",3352.0228648487,3448.52015559973,3236.65880113839,1303.81614337576,1303.71643558304,1177.4642038807
"AKAP13",4137.18137373218,3989.48720721716,4073.12759015828,8398.91115643253,8428.26329314017,8821.37128187695
"LAMP3",233.456893913579,253.686904291683,273.683336499594,1109.99511668886,1313.91499961629,1373.01184313413
"CPED1",3165.02505430101,2870.48469787576,2681.58273837865,7221.97383775543,8543.84701885027,8411.89118258558
"SAMHD1",20248.0300079374,19165.5243447758,20733.118862711,38934.6744331417,40659.9750398721,42135.502217082
"ATP2A2",6796.96389642918,6864.60545585624,6968.00344524554,13865.5981862403,13769.7612055518,13237.0709648476
"ITPRIPL2",1473.91441978275,1468.83559197194,1567.5759179789,3609.43012348264,3746.27252154501,3761.36719777644
"NKTR",13503.3325802949,13373.5858906278,13879.4713655804,5645.71850024144,6283.16532481449,6454.74344270723
"SMC1A",4332.3095238689,4127.33534242588,4129.663115069,8626.20328411356,8689.176556324,8659.25058950445
"FOXN3",3390.35160862556,3687.14801991063,3773.74628779018,7878.16309677977,8391.71843868771,8482.08777103553
"NIN",4291.65782592375,4237.3821730547,4440.60850207792,9354.78352900891,9872.20998418032,10844.5372418451
"SEC23B",1073.20482575198,1179.23866926454,988.086787644075,3137.72111877475,3158.15532896127,2981.68366177879
"ADAR",5469.39558924897,5784.98812800305,5485.23081463271,11382.5095310948,11134.2822832943,11709.4594923891
"PIK3AP1",7173.28247169286,6941.05904345099,6696.8899053328,13645.3116378371,13996.6792552915,14296.705180973
"JAK1",2944.34440831305,3033.81736228274,2825.49134724229,6281.6694191298,6501.58457119313,6692.91043923384
"PPIG",8470.65237468523,8398.31075851464,9170.31912017655,3093.3524500151,3624.73963348218,3643.53721002117
"GSTM2",9248.84202106383,9138.52049295475,8232.34336597606,3752.65529982959,3313.68343046824,3095.33528117395
"SLC37A2",3578.5108962574,3316.46395884516,3031.07507419034,9276.1653615576,8516.65084809495,7963.13442070912
"TXNRD1",3007.064170857,3278.23716504778,3239.22859772524,6957.31862059258,7757.70770795437,7836.94769623361
"HDLBP",6317.2738606764,6250.65997971655,6226.61712993913,13154.1426906908,12350.4610442586,12274.3748946768
"PNN",14539.3701393541,13699.0928317509,14546.3335798681,5611.46900154978,6204.97633389295,6672.85427110529
"WDFY3",2307.85496620041,2217.15404024786,2382.20143601055,5171.67430244094,5552.26823576532,5882.30697737134
"ASMTL-AS1",1354.28228011559,1330.98745676322,1360.70729273742,375.187690213205,382.446151246655,323.40571107298
"NSD1",3137.14960428148,3061.61866686265,3095.31998886161,6473.15525272409,6392.79988817186,6730.51575447489
"ACACA",1820.0345908586,1723.68088395445,1615.11715483563,4105.2694568142,4207.75754404931,4119.8712030744
"GOLGA4",7345.18108014664,6556.47433009556,7254.53576467939,1998.92528727699,2492.69902579209,2620.67263546477
"CBL",4612.22550114837,4642.81786484506,4754.1236856737,9311.97165564434,9434.52161108692,10045.6332113909
"APBB3",12494.008994171,12376.2140888235,11925.1410612804,6153.23379903607,5572.66536383181,5454.44205729546
"PRPF8",9200.05998352965,8537.31728141419,7902.12450456575,19175.0488811454,18286.8751919428,18197.6298819773
"GALNT2",1256.71820504723,1278.86001067588,1332.43953028206,4211.90994137687,3564.39812961882,3435.45446568739
"TFRC",3235.87515643399,3565.51731237352,3321.46208850447,7358.19343482453,7617.47745249726,8258.96290060533
"FOCAD",620.228762934583,618.579026903009,609.041791083604,1864.26248560296,1988.71998648261,1791.68435281775
"ANO6",693.401819235854,750.635223657584,840.323483900163,2265.13729983491,2426.408359576,2292.25288235965
"TMEM140",120.793616751305,116.99715677379,91.2277788331981,716.904279432286,744.495174426821,735.39283138042
"SIRPA",8382.38011629005,7929.16374372865,7958.66002947646,17991.884380888,16732.4440572092,15984.7659984599
"CENPT",1979.15695138676,2104.79043423739,2069.9711507082,729.35864259289,611.063961658544,657.675179882262
"HSPA5",13942.3709181025,14351.265101688,14663.2593245698,26814.2438847811,26788.2281939879,28534.0775312323
"APLP2",4209.19295294931,4175.98762544073,4371.22399423296,8437.05264361188,8452.90982288718,8754.51738811509
"ERMN",746.829765106623,638.271617647112,675.856502341721,112.089268445439,113.883965037893,96.1024722826685
"HMGB2",7204.64235296483,7175.05335699857,7385.59539060877,3315.19579381336,3391.87242138978,3625.15238923666
"EFCAB14",2840.97294782395,3288.66265426525,3151.85551377232,7064.7375028528,7886.03963870602,8263.97694263747
"HMGCR",4515.82290316415,4299.93510835949,4670.60529660106,9198.32559180382,10116.1256406421,10369.8745961359
"LUC7L",3938.56879234302,3998.7543087438,4195.19292803369,1806.66105598516,1794.94726985097,1800.87676321001
"ZFP36",9693.68774429219,9042.3743146159,9300.0938478125,3983.06101830077,3336.63019954304,3046.8662081966
"CALU",1563.34815526208,1501.27044731517,1598.4134770211,3754.9904929222,4020.7838701065,4488.40329243663
"EEF1A1",207612.867314221,204982.493830753,197892.325763608,370348.391727613,355323.920080578,373051.412580535
"GIMAP6",1343.82898635826,1519.80465036844,1252.77583608969,3618.77089585309,3558.4489672661,3795.6298183294
"BMP2K",620.228762934583,576.877070033143,529.378096891234,1794.20669282456,1946.22596967742,1767.44981632908
"MYCBP2",4573.89675737151,4487.59391427389,4881.32861672281,9619.43874617176,10099.9779142561,10974.0666610087
"SPRING1",1085.98107367759,1220.9406261344,1075.459871597,2916.65617267402,2880.24445905536,2927.36487309729
"GM2A",11133.9193286347,11574.6098067694,11254.4241521124,20780.1049334683,20459.1693310238,20727.2140871915
"EXOC4",1017.45392571291,883.849808102989,1009.93005863231,2552.36605022635,2677.12305872658,2715.93943407541
"CAB39",2252.10406616134,2314.45860627755,2365.49775819602,4933.48460699438,5151.12471712439,5486.19765683234
"WDR1",9294.13962734557,9243.93377282025,9354.05957613637,18528.9787921891,17670.7119482677,17058.6066670097
"KHNYN",1240.45752586917,1311.29486601911,1087.02395623783,3242.80480794235,3148.80664526413,3263.30568925061
"PTGS1",6199.96467517754,6292.36193658641,6141.81384257305,12348.5010737392,11628.9126389066,11817.2613960801
"EMP1",277.593023111171,330.140491886437,253.124963804789,1264.11786080134,1188.98259020904,1163.2577514563
"ARCN1",2621.45377892014,2615.63940589325,2686.72233155236,5399.74482781951,5660.20303845049,5882.30697737134
"GTF2I",1343.82898635826,1494.32012117019,1554.72693504464,3767.4448560828,3580.54585600479,3560.80551649087
"DDB1",9644.90570675801,8980.97976700193,9001.99744373783,18489.2805096146,17666.4625465871,17447.1949245005
"RAB31",6822.51639228041,6862.28868047458,6472.03270398336,12903.4986320836,13934.6379907559,14408.6854530241
"MSN",22944.9797973271,23411.0152316663,22346.9511192533,41575.7778208873,40387.1634519829,40831.0156150538
"DDIT4",9036.2917146649,8702.96672120282,8296.58828064733,4098.26387753636,3736.92383784787,3449.66091811179
"PGM1",492.466283678396,552.550928525722,457.423792459416,1741.27564939199,1653.01725372165,1591.9583452042
"CSDE1",10293.0099197121,10464.8743989547,10635.1031746814,20058.5302678508,21792.6315783705,23391.3417536015
"UBE4A",1895.53060132816,1666.9198871038,1723.04861148336,4027.42968706042,4435.52547412509,4371.40897835338
"RAB11FIP1",666.68784630047,586.14417155978,724.682637491883,2057.30511459233,1948.77561068573,2111.74736920264
"DUSP6",4500.72370107024,4510.76166809048,4382.78807887378,2139.03687283379,2127.2504812675,2096.70524310622
"NRIP1",847.878271427426,956.828232625254,900.713703691153,2389.68093144095,2725.56623788449,2897.28062090445
"TBC1D9",1894.36912424402,1956.5168098112,1959.46989747362,4114.61022918465,4184.81077497451,4333.80366311234
"CD180",3123.21187927171,3157.7648452015,3165.989395,6273.88544215442,6992.81540546106,6631.90626117615
"WDR7",649.265690038262,568.768356197336,533.23279177151,1751.39481945998,1862.08781640316,1853.52420454747
"GNA12",1396.09545514489,1342.57133367151,1232.21746339489,3378.24600731392,3256.74144794929,3131.26924907095
"ST6GAL1",3872.36459854663,3844.68874586346,3947.2075574026,7429.02762530047,7511.2424104843,7662.29189878076
"FKBP4",861.815996437192,878.05786964884,849.31777195414,2254.23973206938,2158.69605370334,2209.52118882935
"IFNAR1",2098.78909105392,1961.15036057452,2033.99399849229,4372.25986706965,4901.25989830991,5019.05607417137
"FAM168B",2809.61306655198,2697.88493194215,3050.34854859172,6215.50561483909,6003.55469423638,6140.53014202651
"AHSA2P",7424.16152186864,7173.89496930774,7875.14164040382,3257.59436419557,3681.68161600113,3376.95730864577
"SH3PXD2A",1088.30402784589,923.234989591195,1170.54234531047,3182.0897875344,2914.23967249951,2963.29884099428
"HERC2",3944.37617776375,3798.35323823027,3864.97406662338,8820.802708498,7835.89669887591,7906.30861101154
"FMN1",527.31059620281,525.908011636641,540.942181532062,1535.00025954448,1569.72898078349,1689.73216483092
"ANTXR2",110.34032299398,93.829402957198,104.076761767451,663.19483830218,600.8653976253,662.689221914401
"SLC1A4",3748.08655054288,3522.65696781283,3821.28752464692,8252.57238929543,7542.68798292014,7543.62623735347
"TM9SF2",3645.87656713793,3672.08897992985,3424.25395197849,7590.15594869079,7965.07850996367,9013.57622644228
"CCNL1",13936.5635326818,14037.3420374732,13816.5113492025,6276.99903294457,6973.26815773067,7231.08428401679
"CYFIP1",14394.1855038357,14015.3326713474,13919.3032126765,27843.285640926,26028.4351735112,25396.9585664572
"TLR4",882.722583951841,889.641746557137,1057.47129548904,2674.57448873978,3017.92507350416,3475.56680194451
"XYLT1",1111.53356952883,1028.64826945669,945.68514396104,2845.04358450055,2747.66312662319,2588.91703592789
"PCDHGC3",99.8870292366557,83.4039137397315,111.786151528003,860.907853476773,687.553191907875,629.262275033473
"RGS1",3782.9308630673,4247.80766227216,3902.23611713271,1075.7456179972,1436.29776801521,1403.93176899898
"SCARB2",986.094044440938,964.936946461061,782.503060696023,2589.72913970816,2960.13321064911,3193.94477447269
"C6orf89",2127.8260181576,2022.54490818849,1918.35315208401,4415.07174043423,4417.67798706692,4359.70954694506
"ARHGAP30",6251.06966688001,5752.55327265982,5427.41039142857,12671.5361182173,12118.4437125023,11721.1589237975
"PJA2",3641.23065880134,3896.81619195079,4007.59777719359,8075.87611195436,9359.7321415098,9810.80890955242
"LENG8",16834.4488576289,15895.3958935638,16703.6778145292,7769.96581682202,6861.93383370109,6037.74228036765
"SYK",4134.85841956389,3999.91269643463,4251.7284529444,8081.32489583712,7942.13174088887,7907.97995835558
"NORAD",4992.02850766449,4961.3744798232,4978.98088702314,9717.51685606151,10418.683040295,11344.270097715
"ITPR1",1522.69645731693,1581.19919798241,1703.77513708198,3601.64614650726,3681.68161600113,3864.1550594353
"GALC",1259.04115921552,1311.29486601911,1188.53092141843,2921.32655885925,3361.27672929004,3338.5163197327
"HK1",3472.81648160001,3199.46680207137,2996.38282026786,7274.90488118799,7007.26337117482,6766.44972237189
"USP34",2712.04899148362,2868.1679224941,2812.64236430804,5757.80776868688,6364.75383708044,6771.46376440403
"TTLL3",3748.08655054288,3429.98595254646,3583.58134036323,1565.35776974845,1641.1189290162,1502.54126229772
"SETX",3820.09812976001,3563.20053699186,3791.73486389813,7734.93792043282,8253.18794390281,9240.87946523259
"B4GALT1",2098.78909105392,2015.59458204351,2165.05362442167,4340.3455614706,4394.73121799212,4485.89627142056
"PIK3CG",5055.90974729258,5230.12042409567,5027.8070221733,9750.98795705564,10210.4623579496,11037.5778600825
"MAPK8IP3",7651.81103036149,7615.24067951382,7510.23052507103,3581.40780637128,3307.73426811551,2878.06012644792
"UBR5",3018.67894169847,3259.70296199451,3032.35997248377,6501.17756983545,6230.47274397606,6884.27971012716
"PRAM1",16092.2650008589,15707.7370876494,15805.5339074249,7889.0606645453,6986.86624310833,6308.50055010317
"CYP51A1",41.8131750292977,27.8013045799105,29.5526607487825,426.561938250698,471.683586537541,408.644425619347
"MT-ND6",87815.7979011143,76367.8669056325,79022.5299439509,38489.4309501501,38955.9649659843,42430.4950233062
"ASGR2",20369.9851017729,19808.4295131862,19588.2744832691,11161.4445849941,10192.6148708914,10146.7497257057
"MT-CO1",919988.576196703,915396.180087351,826808.923649915,480423.166931824,473584.768849405,488266.577416046
"GAS6-AS1",4573.89675737151,4206.1057054023,4096.25575943994,1977.13015174593,1784.74870581772,1752.40769023266
"SPG7",9505.52845666035,9072.49239457747,8928.75824101259,4493.68990788554,4359.88612421187,3814.85031278593
"OLFML3",7973.54018267025,7925.68858065616,7365.03701791396,15286.9523819443,14310.2850993137,14725.4057747209
"GTF3C1",1910.62980342208,1943.77454521208,1816.84618690341,4635.35828883742,4165.26352724412,4109.84311901012
"PCNX1",2214.93679946863,2257.6976094269,2037.84869337257,4664.93740134385,4813.72222369123,5268.08682843428
"TNF",7511.27230317968,6870.39739431039,6547.84170329546,3231.12884247928,2748.51300695929,2702.56865532304
"LTB4R",3753.89393596362,3538.87439548444,3512.91193422484,1696.90698063234,1584.17694649725,1554.35302996316
