"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0032753","GO:0032753","positive regulation of interleukin-4 production",23,-0.641847715428962,-1.66932875862066,0.00759878419452888,0.0387908814442442,0.0256386771098146,3657,"tags=48%, list=20%, signal=39%","5590/3133/7292/940/8140/84868/942/3556/114548/54440/6850"
"GO:0035313","GO:0035313","wound healing, spreading of epidermal cells",23,-0.639116148563439,-1.66222445176547,0.00759878419452888,0.0387908814442442,0.0256386771098146,2166,"tags=52%, list=12%, signal=46%","5728/6239/23122/116844/23332/94/1839/6868/2475/3685/3688/3693"
"GO:0050768","GO:0050768","negative regulation of neurogenesis",100,-0.459986854363683,-1.5430408815514,0.00757575757575758,0.0387908814442442,0.0256386771098146,4210,"tags=39%, list=23%, signal=30%","4038/55198/9572/9706/5925/7533/10371/10505/22933/10509/999/10501/706/51726/1600/4851/84376/22920/9682/6049/58190/7157/54209/64218/5663/6497/9693/2048/23111/6653/3949/4763/5108/23405/1495/29956/8829/57609/1499"
"GO:0002040","GO:0002040","sprouting angiogenesis",101,-0.45480424884527,-1.52626371730256,0.00760456273764259,0.0387908814442442,0.0256386771098146,2975,"tags=30%, list=16%, signal=25%","4851/10014/2185/6722/8503/5607/375056/161742/301/339123/7040/94/90627/9734/10000/5286/55333/25/5291/23670/5315/387/7082/90268/6091/57674/8829/3716/3688/26051"
"GO:0002696","GO:0002696","positive regulation of leukocyte activation",307,-0.370374193441921,-1.37955927116144,0.0075839653304442,0.0387908814442442,0.0256386771098146,3875,"tags=33%, list=21%, signal=27%","6601/961/101/207/10892/51111/8289/3707/7525/5590/975/9760/695/56848/51571/3133/4860/26258/120892/5290/7292/9655/3479/3572/3635/64127/22976/57492/2214/8772/3956/1880/196528/7494/301/7040/3566/399/940/51043/3575/3329/57678/54209/6708/596/64115/5321/55183/914/57181/4208/2309/3111/55626/4292/27/10333/4436/2475/55193/84868/6541/10451/1050/942/5788/6714/2048/10808/30011/25/2319/7158/8741/5781/57178/729230/4323/6595/6693/1075/6599/2547/1540/4773/387/80381/114548/558/54440/920/8546/3071/1026/81704/6850/7099/7037/140885/7048/5591"
"GO:0099590","GO:0099590","neurotransmitter receptor internalization",22,-0.644241336349,-1.65337787492568,0.00764525993883792,0.0389630247428413,0.0257524545308225,4725,"tags=59%, list=25%, signal=44%","55697/1175/8650/23513/5898/160/1902/2060/4983/23345/161/1173/163"
"GO:0007032","GO:0007032","endosome organization",94,-0.47146636156088,-1.56655877822591,0.00776196636481242,0.0394502116420113,0.0260744587528174,4237,"tags=48%, list=23%, signal=37%","128866/137492/57132/23023/57403/537/55004/25978/51606/8766/5873/23325/57679/84376/8027/55300/79666/10015/79643/51534/51271/149371/535/10159/8411/55353/7879/8878/91782/51382/10043/9525/79102/10564/5869/257364/523/10228/57617/55654/1182/23603/9897/23317/950"
"GO:0019080","GO:0019080","viral gene expression",94,-0.467663220919219,-1.55392194166074,0.00776196636481242,0.0394502116420113,0.0260744587528174,3036,"tags=37%, list=16%, signal=31%","440275/51763/29969/23076/55741/22879/8665/8662/6483/8661/60559/9474/27090/2932/904/9830/2530/6737/6482/4124/8664/11320/6667/22954/1660/5045/2589/821/2033/6480/4245/7812/1452/4249/51386"
"GO:0001838","GO:0001838","embryonic epithelial tube formation",94,-0.463191307882731,-1.53906295023751,0.00776196636481242,0.0394502116420113,0.0260744587528174,2274,"tags=26%, list=12%, signal=23%","7040/9968/10427/4976/9653/6497/25902/5567/29072/3091/10370/10959/7798/25/57534/51684/6789/10653/4522/6692/317/6768/1499/2909"
"GO:0021697","GO:0021697","cerebellar cortex formation",18,-0.68668370053491,-1.69688717137363,0.0078003120124805,0.0394566441441441,0.0260787102892366,1744,"tags=44%, list=9%, signal=40%","25809/23287/5604/4983/5781/538/136319/8925"
