"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0010638","GO:0010638","positive regulation of organelle organization",446,-0.319579480344865,-1.63790710538082,0.00191938579654511,0.0405829142824114,0.0320866758538448,3992,"tags=32%, list=21%, signal=25%","122060/286/6491/8697/10524/2885/4478/10575/29899/5071/80821/2185/59341/274/1017/10574/581/9898/11315/5885/3055/2475/4204/84709/5609/80856/1663/7408/7203/54732/6950/23019/6622/51548/80199/65057/4488/1736/578/7014/9639/7043/10109/387/4733/23130/22948/29109/301/5879/10111/7016/9793/192111/79035/9475/3984/1902/572/2242/5216/5514/5594/940/10142/10445/5371/29781/54471/400916/6836/253260/22843/6869/3643/2934/4771/10635/10043/699/64223/2909/9587/10300/3303/23397/10801/25/3064/7416/545/10155/9948/84722/302/983/29844/23137/5202/5595/23636/6790/55845/64151/6188/9787/10615/51024/9918/342184/64127/11065/7984/163786/9700/8743/55023/292/51375/10856/3178/10174/6714/85459/54892/23191/2237/9212/10592/3479/2896/10051/9662/2241/55196/55704/201164/991/546/7175/8829"
"GO:0016032","GO:0016032","viral process",372,-0.326127877156053,-1.63617612431763,0.00200803212851406,0.0405829142824114,0.0320866758538448,2784,"tags=27%, list=15%, signal=24%","51386/1105/81607/10572/8664/64848/5465/682/128866/23076/1660/5119/3326/6597/207/27090/3482/1915/4851/6614/8661/949/7841/90120/57617/7879/11060/4864/5093/8692/3916/29969/1956/940/6609/1234/8662/50855/26986/1525/9189/6780/7706/348/5045/3643/1487/7415/2934/975/6598/950/6590/6737/3303/3965/3276/10155/53373/79677/8673/7392/983/23137/9830/11059/5478/5725/51160/3695/7913/89853/6575/3693/30835/920/5479/1642/8091/3054/8665/5901/6895/5702/3956/3609/5034/3921/1104/3838/1508/1072/6404/6520/51773/7153/55196/6482/1514/2219/8829/4360"
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle",196,-0.349422108341296,-1.63253982218794,0.00198412698412698,0.0405829142824114,0.0320866758538448,4299,"tags=35%, list=23%, signal=27%","5933/57695/5721/5932/1543/57521/9510/7157/6491/255374/8738/10263/8110/1017/5515/8454/79577/835/595/91/56257/5537/26524/898/9275/7465/6597/207/84967/10657/5426/10197/1978/58190/1956/10106/51512/1033/5371/2146/51499/10217/5591/6598/993/1032/1869/55198/1019/983/6240/8317/896/1981/890/7027/55159/6604/4609/163786/60/1104/990/1031/6241/324/9928/10457"
"GO:0030595","GO:0030595","leukocyte chemotaxis",186,0.358391888986556,1.62840816284733,0.00205338809034908,0.0405829142824114,0.0320866758538448,1224,"tags=17%, list=7%, signal=16%","6367/1236/7852/5919/3815/6351/7422/1901/1843/2321/3576/6349/6346/5054/58191/1906/6374/6369/1511/2867/3553/566/9023/1130/1803/54210/643/2920/1880/27202/6364"
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process",232,-0.341475348325622,-1.62082596935947,0.00204081632653061,0.0405829142824114,0.0320866758538448,3562,"tags=34%, list=19%, signal=28%","4245/4321/5515/4521/8801/2475/55741/226/51071/10930/5211/55576/4860/4758/3094/51005/51548/6774/4967/5465/5580/351/7040/1854/1471/254552/4074/3704/5230/8692/8876/221937/3074/26137/6609/56953/7351/5236/5213/1807/9759/5315/38/51816/3643/3098/950/7374/10894/64223/11165/80896/10007/23670/8930/2584/339123/4669/1890/3101/3939/2821/9615/7167/2760/11332/4668/2720/2023/5223/79077/215/2597/216/3479/5973/3161/1514/2517"
"GO:0080135","GO:0080135","regulation of cellular response to stress",470,-0.313846085150515,-1.61915924071012,0.00194174757281553,0.0405829142824114,0.0320866758538448,4211,"tags=33%, list=23%, signal=26%","84962/5859/7515/7334/9261/1111/7157/84501/55031/7336/6877/3954/7917/10524/573971/23347/10629/1388/5071/29956/57634/91304/54556/3309/8110/754/10869/10525/54465/581/7454/27097/11315/1270/2475/55257/2950/55693/5764/23376/7042/10134/4281/79184/8295/84309/7009/3337/1663/3090/23450/149628/79109/1393/9521/51548/5770/10062/258010/578/84893/7014/112869/387893/91445/51035/10721/9958/8428/9275/1660/6597/79915/4869/9475/7466/572/2187/5531/1191/79968/5514/5594/1956/10474/51588/10445/5371/7468/116028/51499/93624/57805/83443/54910/25946/7376/6449/5591/55611/10961/1387/84900/6598/10635/23576/56970/80185/3303/1032/25/10459/7416/545/10155/23326/10399/29844/5478/5595/1981/7913/6188/580/146760/8091/8914/142/55159/5111/6604/4609/5605/79794/267/64127/2235/3480/54832/60/2023/55086/10856/215/3014/948/2896/672/55872/2139/2305/55183/675/22876"
"GO:0072521","GO:0072521","purine-containing compound metabolic process",478,-0.313019250474539,-1.61782905771378,0.00191570881226054,0.0405829142824114,0.0320866758538448,4139,"tags=33%, list=22%, signal=27%","9551/57521/7157/25796/161823/4700/56606/51292/83666/4729/4907/1969/3099/126328/1740/54988/539/4832/4621/387712/2639/9567/83401/8802/481/5635/5515/6576/4521/8801/2475/226/51071/5211/515/4860/3614/4722/3094/6622/51548/55/2272/5165/6774/60490/51181/4967/10591/5465/54539/10606/65220/64834/54677/351/8833/8050/4354/7040/254552/4190/9556/65990/3704/5230/22934/6391/4717/572/10380/23498/32/4723/8876/4726/56848/509/2982/2539/4720/353/706/221937/26137/5226/5160/7351/3615/5236/5213/9540/9759/516/5315/38/51816/4728/3643/84188/3098/4725/3000/8942/30968/8514/7415/2766/4713/4710/64223/80347/3303/11165/6817/55229/4833/5106/84433/8694/9524/517/84532/7086/8459/6390/506/4716/4696/2584/339123/9429/144811/518/3101/51024/6470/4706/5901/4191/513/3939/142/2821/7114/498/9615/3418/7167/4522/11332/2023/5223/109/215/2597/6888/3479/9060"
"GO:0050900","GO:0050900","leukocyte migration",316,0.331376354863737,1.61781979107925,0.00199203187250996,0.0405829142824114,0.0320866758538448,1780,"tags=19%, list=10%, signal=17%","6367/1236/7852/5919/3815/326/6351/7422/2534/1901/8784/1843/9435/2321/3576/6349/6346/3552/5054/58191/1906/257144/51135/9466/6374/7412/1991/6369/1511/2867/3673/3553/566/9023/1130/1803/2013/4345/54210/6401/643/2059/2920/119/1880/27202/6364/255231/928/3688/8995/177/30817/7057/3675/5657/6352/5747/57402"
"GO:0044843","GO:0044843","cell cycle G1/S phase transition",215,-0.341706041659393,-1.6160095068396,0.00199600798403194,0.0405829142824114,0.0320866758538448,4299,"tags=34%, list=23%, signal=26%","5933/57695/5721/5932/1543/57521/9510/7157/6491/255374/4296/8738/10263/8110/1017/5515/8454/79577/835/595/91/54623/56257/5537/26524/898/9275/7465/6597/207/84967/10657/79447/5426/10197/1978/58190/1956/10106/51512/1033/5371/2146/51499/10217/5591/6598/993/81610/1032/1869/55198/1019/11331/983/6240/8317/896/1981/890/7027/55159/6604/4609/163786/60/1104/990/1031/6241/324/9928/10457"
"GO:0007018","GO:0007018","microtubule-based movement",333,-0.324159319589645,-1.61595364083895,0.00198019801980198,0.0405829142824114,0.0320866758538448,2772,"tags=22%, list=15%, signal=19%","80199/388552/23059/7014/351/6794/257044/80173/25777/3798/23557/29105/54970/55330/57560/3916/25809/55605/2319/27285/23046/6869/1062/6780/6865/22820/57576/221458/3835/150082/8943/9531/28981/10300/3064/5195/55036/56912/79582/6647/9638/146909/3799/55201/9787/10112/26958/9493/55764/117178/375189/109/56992/5360/24137/7110/23230/11004/3832/9585/79659/81930/324/5108/320/85413/3833/3895/338/667/9928/4744"
