"","C08_10_1","C08_10_2","C08_10_3","C08_100_1","C08_100_2","C08_100_3"
"ASB2",2605.34670641714,2251.01676993128,2118.55432771144,3597.49021701895,4379.68867867454,3735.55859192466
"SERINC5",1459.8185237011,1486.25428186018,1650.92893620879,979.116458448488,738.328182084711,765.386393510893
"HSPB7",386.422550391468,349.928223324043,311.444023024362,117.420009653407,158.780254211766,111.798012535299
"LYN",12404.1638675661,12876.7942179646,13349.8321491652,18715.0853181438,17674.8886313397,17893.0569100967
"DHRS9",107.339597330963,129.812082846016,146.994229156041,377.223338099134,386.36528524863,284.86993578706
"RNF213",14818.8754491235,13770.4281216147,13872.5803766014,9973.30428449843,10242.649565444,10026.3467588148
"FAM111B",656.918335665495,748.771144532092,725.784006457953,1193.61600364211,1204.08359443922,1203.97859653399
"PHGDH",654.342185329552,633.069070691078,724.865292525728,1137.21741632827,1389.32722435295,1122.28004891204
"TRIB1",819.215806829912,837.193867630103,646.774608286581,349.486327944786,377.103103752944,413.867642558559
"FN1",271.354502052675,460.926960830057,390.453421195734,149.77985483348,80.713295890981,115.022955204587
"MTUS1",3142.90340985061,3641.32299055745,3494.78779818488,5855.28284358288,4836.18190953337,5338.35509856053
"IFIT2",139.112118140928,156.150766322019,126.782522647085,302.333410682394,366.517753472159,377.318292306634
"TDRD6",701.571608155176,945.370603335117,1170.44154965498,452.113265515874,230.23136860706,370.868406968059
"EGR1",2663.73944736519,2536.97961909931,2366.60708941226,3581.77257793148,4362.48748446827,3898.95568716855
"SPP1",192911.583039986,193532.883512604,208514.070199641,281378.099510784,270949.241630883,267005.903360987
"SLFN11",2423.29874934383,2621.63967312932,2721.23066725121,1777.01778388857,1472.68685781413,1622.1461626516
"LYZ",1796.435500931,1989.51126970525,1977.99109608098,1226.90041582733,1262.30302098354,1201.82863475446
"SLC40A1",879.325981335251,847.541207567104,904.933223241878,481.699409680512,538.529695534906,457.941859038821
"FBLN1",2990.05182325131,2779.67177398534,2486.95861453377,3999.676864257,4665.49313625572,4244.02455278231
"STAT1",4112.39465294387,3949.86185413349,3891.67221690619,5601.95148417317,5532.16869049494,5848.97102119771
"TNFAIP2",3513.01034144777,3130.54066457639,2945.39686671417,1674.39084631748,2167.3504699906,1947.86537224963
"IFI44L",80.7193771928844,71.4907122920088,76.2532563746963,251.482225399423,243.463056458041,188.121655708436
"CCL2",1357.63122704202,1246.38412877515,1367.04633115118,1989.6681950719,2342.00874962355,2013.43920652514
"IFI6",1055.36292095803,1087.41136065213,900.339653580752,1524.610991484,2040.32626662119,1805.96789480098
"H2BC21",155.427736935235,206.946798740026,160.77493813942,391.091843176308,426.060348801572,382.693196755447
"DDIT4",4521.14383958018,4136.11397299951,3792.45111222586,5960.6834821694,7405.77569019378,6246.71395040983
"HSPA8",35221.1273930143,34539.4207097103,36291.0377507621,26258.6275131213,26669.7900324363,25418.9981193239
"HERC1",12422.1969199177,12328.3852013035,12456.8422070423,8836.08686817016,9001.51724502202,9396.40795741393
"MLKL",470.576794698943,377.207574067046,412.50255556914,186.762535039277,187.889967483923,203.171388165111
"DOK2",559.024622899657,516.426329583064,385.859851534608,136.835916761451,193.182642624315,236.495795747748
"LIPG",2445.62538558867,2513.46293742431,2447.45391544808,3787.9510200788,3606.95810817728,3384.03984097232
"SPATA18",625.14581485553,704.559782983087,731.296290051305,402.186647238047,321.530014778826,350.443770062572
"TRIM58",929.990271275466,846.600540300104,740.483429373557,502.039883793701,419.444504876081,426.767413235709
"P3H2",436.228123553035,349.928223324043,394.128276924635,684.179583807253,774.053739282358,732.061985928256
"CCDC88A",10725.3725653099,12344.3765448425,13479.370813609,21725.4754868957,16773.810688688,19384.0554041972
"CEACAM6",25.7615033594312,37.6266906800046,22.9678483056314,134.986782751161,130.993709724707,112.872993425062
"UBASH3B",1876.29616134524,1994.21460604025,2173.67716364496,1387.77507472255,1034.71798994667,1157.7544182742
"BTBD19",683.538555803574,612.374390817076,592.570486285291,330.070420836742,336.084871414904,350.443770062572
"CARD8",5797.19697265067,5813.32371006072,6080.96751739898,4433.29878966997,3994.64656221101,4021.50350860148
"RNASE1",271.354502052675,272.793507430034,258.158614955297,63.7951233550006,103.207165237648,113.947974314824
"ADAMDEC1",1023.59040014807,1081.76735705013,1182.38483077391,683.255016802108,674.816080400005,582.63964225127
"APOB",626.004531634178,652.82308329808,740.483429373557,388.318142160873,351.962896836081,359.043617180672
"PPIG",3412.54047834599,4011.94589375549,4005.59274450212,6046.66821364788,5194.76065029494,6039.24263868567
"SEL1L3",542.70900410535,539.002343991066,626.562901777625,1017.94827266458,894.462098726281,1000.80720836888
"KIF20B",710.158775941653,852.244543902105,1110.72514406034,2200.46947224495,1448.86981968236,1690.9449395964
"RASAL1",1951.00452108759,1639.5830463812,1747.39389909244,1069.72402495269,1137.92515518432,1191.07882585684
"PLXNA2",678.386255131688,591.679710943073,619.213190319823,324.523018805873,353.286065621179,360.118598070434
"AOC1",2041.1697828456,1954.70658082624,1555.38268725736,943.058345247835,1243.77865799217,994.357323030304
"HLA-B",3877.1062555944,3820.04977128747,3382.7046984534,5172.02782678077,6033.6496600471,5209.35739178903
"ANPEP",80.7193771928844,59.2620378210073,81.7655399680479,9.24567005144936,9.26218149568634,10.7498088976249
"HNRNPDL",10486.6493008458,11988.8043179165,12004.8349523874,17135.9248733563,15401.6846585413,16147.2879451224
"GSDME",1160.9850847317,1204.05410176015,1204.43396514731,767.390614270297,775.376908067456,632.088763180345
"SMC3",2091.83407278581,2520.04760829331,2645.89612480874,4132.81451299787,3456.1168666761,3721.58384035774
"NCCRP1",164.014904721712,129.812082846016,87.2778235613994,29.586144164638,31.7560508423532,22.5745986850123
"SP140",833.813992066923,900.218574519111,1024.36603443116,529.776893948049,570.285746377259,515.990827085996
"ATG4C",2039.4523492883,2052.53597659425,2304.13454202094,1435.85255899009,1218.6384510753,1463.04899096675
"HSD17B4",10200.6966135561,11018.0356983724,12133.454902899,7982.71152242138,7576.46446347143,8038.70709364391
"KTN1",3648.6875924741,4498.27087079455,4772.71887791021,7052.59711524558,6019.09480341102,6934.70171985783
"LGALS1",4619.89626912466,4295.08674112253,3940.36405531413,2258.71719356908,3187.5136033012,2384.3076134932
"ERMP1",1793.00063381641,1898.26654480623,1894.38812824848,1308.26231228009,1163.06536210118,1264.17752636069
"COL6A3",58.392740948044,60.2027050880074,111.164385799256,12.9439380720291,2.6463375701961,6.44988533857494
"USP32P3",449.967592011398,554.053020263068,590.73305842084,277.370101543481,259.341081879217,281.644993117773
"GSN-AS1",615.699930290406,475.036969835059,568.683924047434,251.482225399423,222.292355896472,325.719209598035
"TAL1",4888.67462084139,4938.50315175061,4746.9948878079,3681.62581448714,3436.26933489963,3480.78812105094
"TMOD2",502.349315508908,571.925698336071,531.016652826199,325.447585811018,228.908199821962,221.446063291073
"HNRNPA1",39670.9977399667,40618.012589065,39347.5990032755,53088.6374354222,50805.7118414098,52582.6902227322
"LRP5",281.659103396448,245.51415668703,150.669084884942,63.7951233550006,86.0059710313732,35.4743693621622
"KRT6A",23.1853530234881,38.5673579470048,73.4971145780206,0,0,0
"GOLGA4",2205.18468756731,2758.97709411134,2881.08689145841,4718.98999425976,3527.5679810714,4762.16534164783
"UNC13B",2175.98831709329,2229.38142279027,2327.10239032658,1604.12375392646,1566.63184155609,1504.97324566749
"KIF14",559.883339678305,650.94174876408,594.407914149741,1026.26937571088,916.955968072948,996.507284809829
"KRT14",32.6312375886128,41.3893597480051,47.7731244757134,0,0,0
"MPO",25.7615033594312,29.1606852770036,78.0906842391469,0,0,0
"CXCR4",139.112118140928,144.862759118018,193.848639699529,48.0774842675367,46.3109074784317,53.7490444881245
"MCM2",1521.64613176374,1343.27285727617,1264.15037074195,2216.18711133241,2352.59409990433,1905.9411175489
"CD83",2783.10107959722,2981.91523639037,2712.04352792896,1932.34504075292,1757.16814661021,2081.16300258018
"SIGLEC1",425.064805430615,362.156897795045,287.557460786505,787.731088383486,670.846574044711,627.788839621295
