"","WT_10_1","WT_10_2","WT_10_3","C08_10_1","C08_10_2","C08_10_3"
"EIF2S2",4485.52989489853,4697.25277544461,4865.20959926897,3771.07628402995,3875.6449760134,4199.11026610973
"LINC01235",3866.9570809253,3949.15910691058,4245.14350006907,4569.26461728765,4679.47550467832,5131.43020281591
"MPDU1",2551.46669204082,2687.89142794925,2623.73452434824,2340.66803836342,2058.81914868088,2084.87292932721
"RPL21P16",1225.45238004527,1133.54436969943,1175.27583937097,810.165435793186,865.735796916836,1033.26008733382
"ADD3",1935.23252764783,1968.30742666118,2023.32186727829,2218.33049103667,2416.18137904417,2622.60864085262
"CCDC82",1925.87792932687,1851.98798429766,1970.25757352743,1415.86462115916,1490.41623109518,1706.80618334006
"OPTN",42.0956924443032,96.932868636269,78.6137685197976,160.835376905089,181.026011706337,118.37526755423
"KIAA0930",32124.8599589539,30227.0896008582,29674.7322720106,28638.1076696694,25109.1519864179,23541.0784018311
"CEP290",612.726190022635,571.333731609068,549.313707532086,366.157134656266,456.785843010291,426.701545835014
"ACTB",267080.798012042,255935.844413755,250993.126769477,237967.06172629,219639.89175777,187530.282386957
"PRPS1",2411.14771722648,2720.96264195456,2609.97711485728,2108.82555356938,2231.40353289832,2050.00269547402
"PARP9",2758.43717989198,2659.38176070328,2928.36287736246,2130.21323666846,2432.12667541209,2319.78818896971
"RBBP7",4971.96900758825,4547.86211907577,4554.68521361577,3831.81730403134,3982.57225753942,4106.4288550789
"MAGEF1",1957.4496986601,2043.57294819052,2354.48236716794,1817.09755609792,1652.68307060397,1616.87768550816
"SNHG6",1419.56029520511,1438.0276158863,1327.59001587808,1128.41416030751,1005.49162978857,1181.91740007634
"SLC38A2",14347.6151747667,13831.7501610507,15665.7587217827,10789.6583698243,12000.2424547714,13446.1457013343
"FZD2",881.670891750128,938.538245737051,844.115339481327,719.481659453083,704.406916017924,541.40626245733
"LTA4H",4994.18617860053,5073.5803830913,5428.28071629202,5745.5871877371,6110.80034335123,6433.55814591244
"INVS",587.001044640006,634.054999550183,614.170066560919,849.518772695495,877.929258845242,716.675069456228
"SSPN",713.288121972915,630.633839480667,788.103029410971,796.477318609774,1063.64506360097,1083.73016264764
"TAF1",3160.6849076931,3052.81516869755,3013.85535062774,3439.13944233221,3669.29408184037,3873.34887090235
"DHTKD1",7660.24670007306,7824.19307898166,7702.18397072717,6833.79250381834,6487.85970452194,6809.78961643363
"RN7SL15P",29.2331197529883,26.2288938662845,34.3935237274114,6.8440585917059,8.44162748889656,2.75291319893557
"PLK1",1421.89894478535,1408.3775619505,1190.99859307493,1146.37981411074,1014.87121588734,921.308283910439
"HNRNPD",13582.8767620285,14021.0543515638,13342.7218620226,11430.4333554728,11978.6694067442,12244.0402711325
"NRDC",6044.23984012787,6348.5327023307,6432.57160913244,7006.60498325891,7315.1391984338,7558.58200654411
"ZNF483",94.7153079996822,117.459829053361,140.522111229138,164.257406200942,251.372907447142,215.644867249953
"FBXO10",122.779102962551,103.7751887753,99.2498827562445,186.500596623986,170.708466997686,200.045025789318
"OAZ1",12668.464776155,12962.7755033938,12316.8121828393,11630.6220692802,10714.3012006295,9952.69885188508
"TMEM109",4499.56179237996,4576.37178632173,4409.24974185415,4177.44226291249,3523.91049730937,3291.56654819397
"TNFSF15",867.638994268694,837.043830341428,801.860438901935,974.422841994127,1124.612373243,1119.5180342338
"MAGI1",169.552094567332,179.040710304638,183.759683915027,277.184372964089,275.759831303954,263.362029364837
"ALG11",620.911463553472,588.439531956644,656.42496714031,788.777752694105,875.11538301561,783.66262396366
"CALM1",10940.2027363584,10418.5727983642,10761.2422382538,11681.097001394,13419.3738315159,12444.0852969218
"NSRP1",1406.6977225138,1504.17004389693,1629.27035257281,1083.07227213746,1066.4589394306,1351.68038067737
"GTF2IRD2B",468.899240837933,538.262517603752,473.64795533178,357.602061416633,318.905927358314,377.149108254174
"CCND3",4570.89060457725,4621.98725391527,4217.62868108714,6056.13634633576,5464.5468611457,4835.03321506385
"ARFIP2",1723.58474063619,1710.58003475769,1594.87682884539,1382.49983552459,1416.31750091487,1288.36337710185
"CTSA",3285.80266023589,3110.97488987931,2551.99946057393,4311.75691277472,3689.92917125767,3403.51835161735
"IQCH-AS1",92.3766584194431,60.4404945614383,101.215226969239,129.181605918449,224.172107760697,152.327863674435
"PHF13",502.809659751399,489.225889940699,611.222050241426,415.776559446133,376.121402560835,335.85541027014
"TMEM63C",588.170369430125,652.301186587598,567.00180544904,840.108192131899,755.99463956118,782.744986230682
"ZNF865",1061.74690942854,1097.0519956246,911.919714829652,811.020943117149,829.155411131617,594.629250970084
"TLE3",3516.15964388944,3334.49068108765,3006.97664588226,4360.52083024062,3895.34210682082,3750.38541468323
"GARS1-DT",2715.17216265756,2882.89755191162,2916.57081208449,3209.0079721861,3393.53425053642,3533.8229097003
"STAU2",1789.06692888289,1517.85468417499,1661.69853208722,1907.78133243802,2020.36284567591,2355.57606055587
"COL7A1",141.488299604463,136.846402780615,90.4058337977672,266.91828507653,174.460301437195,216.562504982932
"RRP1",1114.36652498392,1044.59420789203,1073.07794029524,903.415734105179,843.224790279778,796.50955222536
"NUDT9",879.332242169889,935.117085667536,908.97169851016,1091.62734537709,1102.10136660594,1303.96321856248
"ILDR2",3292.8186089766,2717.54148188505,3134.72401972693,3564.89901895481,3631.77573744527,3981.63012339382
"RAPGEF2",1242.99225189706,1253.28497213247,1201.80798624641,1349.99055721399,1609.53697454961,1833.44019049109
"NIT1",703.933523651959,681.951240523398,670.182376631274,1053.12951579875,779.443604808115,924.978834842353
"TSPEAR",33.9104189134665,26.2288938662845,55.0296379638583,115.493488735037,60.9673096420307,113.787078889337
"DCTN6",723.812045083991,659.143506726629,670.182376631274,476.517579447523,544.015993728889,521.218232331802
"RAB37",251.4048298757,304.483246186868,241.737338198378,432.886705925398,378.935278390468,363.384542259496
"GNPTAB",3807.3215166292,3838.54159799625,3924.7923933509,4176.58675558852,4684.16529772771,5058.93682191061
"MED10",1024.32851614471,997.838353608651,1082.90466136021,876.039499738355,738.17342597351,799.262465424295
"RPSA",32159.9397026575,33817.0269004696,31500.5370458829,30112.146788858,27106.0658668468,26703.2580296751
"ITGA4",4388.47593731861,4320.92516779792,4292.31176118095,4785.70797025035,5096.86708607376,5407.63916044245
"MITF",339.104189134665,278.254352320584,308.559041440206,513.304394377942,373.307526731203,476.253983415854
"RTTN",685.224327010046,628.35306610099,637.754197116858,778.511664806546,834.783162790882,977.284185622129
"RBM4B",555.429275306778,499.489370149245,465.786578479801,693.816439734185,690.337536869763,648.769877215817
"KIF16B",430.311522763988,403.696888202814,436.306415284877,537.258599448913,545.891910948644,689.145937466872
"PAIP2",1703.70621920416,1617.06832619093,1808.11667595534,1410.73157721538,1343.15672934443,1428.76195024756
"DEAF1",1431.25354310631,1136.96552976894,1122.21154562011,1000.94356903699,969.849202613226,737.780737314734
"GAB2",5037.45119583495,5053.05342267421,5190.47406651964,4531.62229503327,4369.94916341878,4250.49797915653
"CLPB",1445.28544058774,1597.68175246368,1393.42904701341,1995.04307948227,1804.63236540411,1721.48838706771
"GPRASP2",59.6355642960962,106.055962154977,90.4058337977672,133.459142538265,196.971308074253,162.421878737199
"ITPRIPL1",631.435386664548,725.28593473726,677.061081376757,545.813672688545,500.869897674529,471.665794750962
"RPUSD1",1231.29900399587,1140.38668983846,986.60279492346,924.80341720426,876.991300235364,699.239952529636
"WASHC2C",2739.72798325007,2936.49572633403,3066.9196443786,3367.2768271193,3516.40682843035,3492.52921171627
"ZNNT1",15.2012222715539,13.6846402780615,19.6534421299494,43.6308735221251,79.7264818395786,35.7878715861625
"LPP",2758.43717989198,2777.98197644648,2624.71719645474,3024.21839021004,3266.90983820297,3509.96432864286
"ACER2",53.7889403454985,71.8443614598229,75.6657522003052,131.748127890339,134.128081212467,120.210543020187
"ZFYVE19",969.370251009093,977.311393191559,1085.8526776797,1441.52984087805,1216.53231701098,1221.37582259442
"LMO7",1963.2963226107,1816.63599691266,2048.87134204722,2198.65382258552,2547.495584427,2393.19920760799
"EPHB2",364.829334517294,396.854568063784,385.207465747008,515.870916349832,495.242146015265,560.676654849879
"GALC",3051.93770221198,2860.08981811485,2894.95202574155,3210.71898683403,3709.6263020651,3665.96274324921
"PARP15",37.4183932838251,21.6673471069307,15.7227537039595,80.4176884525443,49.7118063235019,77.9992073031746
"ENGASE",2068.53555372145,2141.64620351662,2011.52980200032,2718.80227555517,2542.80579137762,2306.94126070801
"RWDD2B",810.342079552836,715.022454528713,748.796145151072,931.647475795965,985.794498981142,989.21347615085
"PDE4DIPP2",46.7729916047813,115.179055673684,41.2722284728937,123.193054650706,143.507667311241,198.209750323361
"ZFAND3",4574.39857894761,4653.91808123075,4341.44536650582,3820.69570881982,3908.4735273591,3914.64256888639
"APBA2",39.7570428640641,59.3001078715998,71.7350637743153,100.094356903699,155.701129239648,108.281252491466
"BEX2",284.145923999047,280.535125700261,255.494747689342,194.200162539655,176.33621865695,164.257154203156
"MCM3AP",5533.24490684563,5392.88865624607,5054.86531582299,6293.96738239754,6108.92442613147,6154.59627508697
"MAOA",120.440453382312,157.373363197707,170.98494653056,299.427563387133,233.551693859471,214.727229516975
"TXK",11.6932479011953,22.8077337967692,11.7920652779696,46.1973954940148,45.9599718839924,55.0582639787115
"ST3GAL2",1358.7554061189,1407.23717526066,1379.67163752245,1955.68974257996,1706.14671136698,1551.72540646669
"RPS15A",3470.55597707477,3226.153945553,3304.72629415099,2765.85517837315,2745.40485111114,2943.78184739511
"CXCR2",437.327471504705,403.696888202814,375.380744682034,548.380194660435,551.519662607908,550.582639787115
"SERPINB6",4262.1888599857,4564.96791942335,4382.71759497872,3776.20932797373,3830.62296273928,3732.95029775664
"PLXNA3",639.620660195385,606.68571899406,561.105772810055,865.773411850796,893.874555213157,683.640111069001
"AHSA1",2095.4300238942,2135.94427006743,1879.85173972966,2471.56065892979,2426.49892375282,2456.51621118351
"CCDC146",304.024445431079,311.325566325899,398.964875237973,180.512045356243,218.544356101433,254.185652035051
"DIP2A",1666.28782592033,1561.18937838885,1701.98808845362,2067.76120201914,2005.35550791787,1902.26302046448
"TCF3",1869.75033940113,1889.62074506233,1728.52023532905,1581.83304200803,1511.98927912236,1225.04637352633
"IMP4",2583.03846137405,2401.65436879979,2185.46276485037,2033.54090906062,1960.33349464376,1883.91026580491
"SRA1",6729.46416713791,6983.72808857072,6347.07913586716,6031.32663394082,5673.71163114836,5354.41617192969
"MILR1",2611.10225633692,2700.43568153747,2902.81340259353,3155.96651810038,3248.15066600542,3353.04827630353
"SFXN3",1446.45476537786,1466.53728313226,1424.87455442133,1817.09755609792,1774.61768988803,1671.01831175389
"TADA2B",1846.36384359874,1838.30334401959,1758.98307063047,1547.6127490495,1467.90522445812,1489.32604062415
"OGT",10223.4066400151,10230.4089945408,11437.3206475241,11534.8052489963,13108.9095316465,13020.3617932323
"NSMCE1",415.110300492434,447.031582416676,405.843579983455,590.300053534634,634.060020277119,512.959492734995
"WNT2B",111.085855061356,116.319442363523,169.019602317565,198.477699159471,215.730480271801,267.950218029729
"ADCY7",6434.79432002779,6523.01186587598,5811.52283782604,8478.07758047568,7419.2526041302,6822.63654469533
"ATAD2",2905.77210344704,2829.29937748922,3013.85535062774,2183.25469075418,2372.09732437993,2641.87903324517
"PTPN7",3983.88955993725,3819.155024269,3892.36421383648,3430.58436909258,3087.75974371638,3394.34197428756
"GLI3",28.0637949628688,34.2116006951537,22.6014584494418,5.13304394377942,5.62775165926437,7.3411018638282
"LINC00960",10.5239231110758,23.9481204866076,19.6534421299494,47.052902817978,48.7738477136245,67.9051922404108
"NPC2",8805.01566960008,8786.67944520532,8545.316638102,7991.2939131406,7277.62085403871,7325.50202236756
"ZC3H12D",723.812045083991,727.566708116936,666.251688205285,568.05686311159,552.457621217786,445.971938227563
"SHTN1",4435.24892892339,4283.29240703325,4447.57395400755,3144.84492288886,3818.42950081088,3883.44288596512
"IKBKB",3036.73647994043,3227.29433224284,3103.27851231901,3816.4181722,3588.62964139091,3593.4693623439
"MRC1",1043.03771278662,1042.31343451235,1088.8006939992,1235.35257580291,1388.17874261854,1321.39833548908
"IGF2R",6761.03593647114,6752.22959053351,6567.19768772259,8216.29233934293,7445.51544520676,7596.20515359623
"TTC28",56.1275899257376,41.0539208341845,45.2029168988836,103.516386199552,95.6717782074943,95.4343242297666
"MAK",8.18527353083673,30.7904406256384,32.4281795144165,56.4634833815737,66.595061301295,89.9284978318954
"ABL2",1106.18125145308,1136.96552976894,1070.12992397574,1376.51128425685,1269.99595777399,1491.1613160901
"FAM120A",6783.25310748341,6968.90306160282,7214.77860590442,8042.62435257839,8088.95505158265,7909.1196205419
"HMGA1",11911.9116369477,11921.6024555712,10547.0197190373,10653.6327053142,9297.04574110474,8011.8950466355
