"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3"
"GALNT3",798.186075156054,586.341908638223,686.163042194009,683.6427514793,738.210350326236,792.032660010126
"JKAMP",1315.11581763258,1319.269294436,1449.6555700956,1250.61593159836,1256.95275866359,1385.41217728156
"FAM107B",1523.63344358464,1401.52589312985,1438.76409323537,1519.77467956102,1387.63594230243,1670.92232182375
"JADE1",630.402124971367,522.013030172518,463.976914245473,470.771954611494,549.667436526698,482.443346651119
"NMNAT3",39.7638263443478,31.637153343789,30.4961352086226,31.7259360716442,27.9322835258576,20.6392875572671
"SMC4",2738.85477064483,2218.81902117774,2310.08224205316,2203.41743104032,2286.45692290234,2446.61554585104
"YWHAH-AS1",32.9748803831177,25.3097226750312,31.5852828946449,42.9835262906147,32.9201912983322,36.9787235401036
"MCRS1",1485.80931608636,1876.08319328669,1683.82232259038,1652.8189276034,2014.11715852523,1660.60267804512
"LACTB",2984.22667467215,2714.4677568971,2681.48160298675,2947.44180278501,2682.49680003682,3104.49283673893
"ULK4",160.025154800424,157.131194940819,120.895393148468,173.980939747726,158.615467164691,158.234537939048
"BMT2",1385.91482551398,1204.32097062023,1060.82984618566,1256.75643535416,1232.01321980122,1370.79268192849
"GALNT2",3362.46794965497,3573.94375607003,3589.83077312929,3646.43581365381,3586.30568840922,3655.73380858094
"HECW2",27.1557838449204,44.2920146813046,38.1201690107783,34.7961879495452,25.9371204168678,25.7991094465839
"LRRC61",30.0653321140191,40.0737275687994,26.1395444645337,22.515180437941,25.9371204168678,26.65907976147
"METTL2A",610.035287087677,489.321305050603,516.25600317454,476.912458367296,469.860912167104,558.120734361099
"SIK2",1448.95503801111,1465.85477159556,1522.62846505909,1472.69748409987,1549.2441541306,1609.00445915195
"TBL1XR1",5306.04619341285,3699.43779766706,3668.24940652289,3991.32744127136,3495.52576695018,4016.06137051823
"AIMP1",2684.54320295499,2073.28811579631,2189.1868489047,2434.70973917553,2271.49319958492,2601.41020253055
"PIP4K2C",901.959963420572,1161.08352771706,1056.47325544157,1090.96283394751,842.956413548202,994.985654323253
"SMIM30",2456.62858854227,2225.14645184649,1936.50458574754,2035.5769950484,2012.12199541624,2256.56210626121
"SNX10-AS1",31.0351815370519,17.9277202281471,15.2480676043113,19.44492856004,51.8742408337355,16.3394359828365
"CAP1",29297.211370977,29865.4727565368,29473.4255314478,28470.4456637764,29243.1056884639,28661.9506248398
"FAM104A",433.522692095694,508.303597056877,363.775327131427,466.67828544096,509.764174346901,435.144979332382
"SF3B5",1363.60828878422,1607.16738986448,1708.87271936889,1484.97849161147,1463.45214044404,1503.22811042096
"HVCN1",2189.91999720823,2129.180420037,2310.08224205316,2315.99333323003,2203.65765387926,2371.79812845595
