"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3","C08_V_1","C08_V_2","C08_V_3","C08_10_1","C08_10_2","C08_10_3","CTRL_Veh_0_vs_AD_Veh_0_pvalue","CTRL_Veh_10_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_CTRL_Veh_10_pvalue","AD_Veh_0_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_AD_Veh_10_pvalue"
"GOBP_MAPK_CASCADE",-0.0507575748951314,0.0693460447100249,0.0196985247893283,0.0964749000592497,0.0866654335461139,0.183187924760139,-0.299169451940699,-0.296271213283421,-0.264552770221058,0.230183052819387,0.155577152255357,0.183185938326768,0.00827037882893349,0.154745416346916,0.0790821164668801,0.000312962491269837,0.0183187053826057
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",-0.0800330481478949,-0.336669707323966,-0.19745268825588,-0.0485396718110857,0.128639316363312,0.495599256597373,-0.431811287835179,-0.471499327160364,-0.482677152662186,0.38120032253024,0.197248092601577,0.387627784608096,0.068400777080769,0.511996338460022,0.115991600871102,0.00427185524922726,0.0060445691445736
"GOBP_PROTEIN_POLYUBIQUITINATION",0.183365049110036,-0.142288515021416,-0.306342319849086,0.0721080277474402,0.149859361630956,0.384489490927202,-0.401528735814326,-0.387354612750458,-0.50058129090546,0.396017279277219,0.329990738193276,0.350456487144434,0.134002935908654,0.234051685640931,0.177567138585158,0.000242157976707387,0.0872195199263819
"GOBP_MEIOTIC_SPINDLE_ORGANIZATION",-0.0643331450218595,-0.142326978576148,-0.0949124285115233,-0.283271673100671,-0.116301279240297,0.383838474744482,-0.27236276621845,-0.0985537465971466,-0.364950456059365,-0.190926106236004,-0.545461349971589,-0.341530849568024,0.198556405400229,0.214485694552546,0.682160599795407,0.430145715075548,0.121972439292084
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION",0.0685559721164146,-0.0626262187199527,-0.130087212047366,-0.0667864169760751,-0.0446841670970788,0.254261974536228,-0.247561889808017,-0.219251611920979,-0.265466949331718,0.143283982350064,0.0844062233239399,0.137992206725438,0.0670139732836978,0.54932845309157,0.505882254106565,0.000178378134299971,0.0958844089689515
"GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY",-0.104038078979698,-0.408609850088641,-0.177013631681304,-0.170397927268744,0.339903362835176,0.193524554537158,-0.185854477612123,-0.13178919979586,-0.281569868944966,0.286106622299414,-0.327124996879622,0.100878018504074,0.787104090262895,0.691964292834572,0.134050637785904,0.349724815929675,0.30812891667854
"GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",-0.278867357188116,-0.44589433285817,-0.468336565074348,-0.116970208180884,-0.200707415935671,0.298964242239467,0.0272045734294854,-0.0664747432796813,-0.0496119691224607,0.111318416700741,-0.239095267382914,-0.0356450588688092,0.0128280933075145,0.808985428649277,0.113018483519324,0.83316424362418,0.0564388875665856
"GOBP_ALLANTOIN_METABOLIC_PROCESS",-0.220059575331244,0.225918701959005,-0.307980142404625,-0.293728126239426,0.00904849970854815,0.083121788793408,-0.279954309791171,0.186250341031607,-0.13293239200597,0.0668626657388531,-0.0746298088730662,-0.337734388328426,0.912676745689036,0.786108719479129,0.876856834185819,0.838211604244315,0.947066118267009
"GOBP_MITOCHONDRIAL_FISSION",0.176877243928391,-0.0340239993534523,-0.173127084988167,0.121064662526685,0.0977553070895693,0.357039177882235,-0.518043101542148,-0.490606342352493,-0.510913121424769,0.399450534990003,0.404352769960466,0.39854252080585,0.0387594718140297,0.127740873524571,0.201255537415916,3.98647486360001e-05,0.0561574075819344
"GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS",-0.0222715659797779,-0.208242116987379,0.428215083209599,-0.51440856785113,-0.558110420012729,-0.323835442283226,0.557165239600905,0.688238211382839,0.377878107615211,0.348730509738958,-0.130848579635843,0.139470767061641,0.112095624560622,0.0333360504297647,0.092243379340903,0.0735070063387702,0.832507983626403
"GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS",0.35644706042989,0.0926263880479055,0.033789606889219,0.164558837565052,0.080499521417263,0.199972747516693,-0.405187796166102,-0.461933394320585,-0.428270127231291,0.183310865148453,0.349551767387713,0.268243334303617,0.0243156987270274,0.123601346441307,0.913660927025711,0.00215272037828298,0.409282393400806
"GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS",0.231228740705705,0.228013452012386,0.137806686751693,0.170440464924826,0.349576248262422,0.468129272565428,-0.388379206486205,-0.490337261513023,-0.562497564749292,0.362201998778426,0.434929121486812,0.380031306113169,0.000899450908829372,0.546066032835324,0.267701436719478,0.00091732629614055,0.0088652741313629
"GOBP_MITOTIC_CELL_CYCLE",0.0857532560896679,-0.117325237220823,-0.196599505185532,0.010595320956443,0.0373173262193188,0.348677060667416,-0.356155872147641,-0.35885798809905,-0.414558141359436,0.239265128262671,0.19456739026186,0.160326765183883,0.0637152599324435,0.608486821278548,0.208184132985093,5.38204102565034e-05,0.0736322065531329
"GOBP_MITOTIC_CYTOKINESIS",0.169879660053764,-0.0645622903551192,-0.0513985750614644,-0.130064734038218,0.139887972599622,0.468107153708438,-0.423210243651486,-0.443252677679394,-0.479715399066944,0.379363706061257,0.165291350229048,0.130039539920943,0.0214723557250865,0.754010090092078,0.513279847771248,0.0104945670183308,0.130169992246477
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",0.0790073076429804,-0.398450263007015,-0.416092245181115,-0.129355376414736,-0.00585099932691897,0.450521971400895,-0.452877785508626,-0.35688108940621,-0.489186668532989,0.330834573024734,0.193926396874183,0.355641938795304,0.366711223229503,0.399222203043917,0.21801862507747,0.000460053124267254,0.0689346842452108
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",-0.0248193648914014,-0.425021649765599,-0.296104065322476,-0.0931292727669537,-0.0149020552765644,0.415516805815129,-0.450489879585693,-0.323944706337259,-0.461289497270832,0.378460377951248,0.255373410123696,0.319823448554882,0.299695629417828,0.304830899363174,0.155482352068874,0.000271155814188139,0.0319654402554145
"GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA",-0.172743525161597,-0.195025678486183,-0.572338695824643,0.208843764803226,0.429332702405062,0.435814744367192,-0.645937515362459,-0.638803163646817,-0.632074053771834,0.31154669935958,0.201957505958612,0.533017026896795,0.128531912434944,0.944308364099223,0.0180419697589387,0.00948556348022325,0.0174912014544154
"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC",-0.109086422711399,-0.4388540334074,-0.533629777858753,-0.374027846264374,-0.37920462878515,0.46656611754391,-0.366422807657427,-0.22972701989601,-0.633878974409358,0.49397771535609,0.125398957157063,0.14816479992591,0.791513299103273,0.341492755729076,0.458365787656998,0.0167109342798505,0.0248232455494977
