"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3","C08_V_1","C08_V_2","C08_V_3","C08_10_1","C08_10_2","C08_10_3","CTRL_Veh_0_vs_AD_Veh_0_pvalue","CTRL_Veh_10_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_CTRL_Veh_10_pvalue","AD_Veh_0_vs_AD_Veh_10_pvalue","CTRL_Veh_0_vs_AD_Veh_10_pvalue"
"GOBP_REGULATION_OF_RECEPTOR_RECYCLING",0.416924838005179,0.348768497793621,0.314670524398786,-0.210189116868645,0.0627595500588146,0.343300238553831,-0.530350279083956,-0.660445546612349,-0.554875262956504,0.41558243032067,0.485435283674807,0.35903265337236,7.9501467859917e-05,0.150747245154433,0.203044046752039,5.30109207374757e-05,0.276741897758904
"GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING",0.350781520027654,0.383879996309969,-0.184779253281173,-0.349123484177452,0.00107531011178075,0.578054659280397,-0.602672913706852,-0.687220156029644,-0.464034717155437,0.533760308845833,0.837750958697225,0.322576738773974,0.0408512976727335,0.208828584153548,0.762878280505844,0.0079314332136637,0.186294556611781
"GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING",0.507244931533858,0.346020721559224,0.379443194947755,-0.122253720678921,0.153568044169524,0.531200775853526,-0.557713268543863,-0.726918925748546,-0.576416982961482,0.24705085200036,0.320005628705391,0.256492701813472,0.000150089166734171,0.69193981790549,0.359726455893483,0.00103243878273065,0.091508862273171
"GOBP_LYMPHANGIOGENESIS",0.211656798311166,0.125728384758982,0.191303117042546,0.1035409366967,0.236313113153735,-0.156556842161263,-0.293287664120066,-0.353031875231286,-0.134303939252106,0.0683008084182054,0.247364036137851,0.0440667415332619,0.0124213430517992,0.684963035745409,0.424802191774677,0.0142149808548772,0.482438148407553
"GOBP_REGULATION_OF_CELL_MATRIX_ADHESION",0.179982451757905,0.147693789553976,0.22874192061023,0.2842123047988,0.194724081974531,0.0795505080330192,-0.405734748790334,-0.408997872598914,-0.342208586262776,0.34252974306571,0.249251290396664,0.232675943071337,6.1070465347011e-05,0.280472714339099,0.992139685648046,0.000243799799958099,0.106469993793799
"GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION",0.383570137549056,0.238485362595511,0.351266668937725,0.0532094646961312,0.342268416011106,0.0332084545455815,-0.517219493384773,-0.484716124745081,-0.199522025094864,0.350755878170724,0.20156161813294,0.316623997582205,0.00945074509167358,0.279318924522522,0.202996004415729,0.0104606084255541,0.610263941286229
"GOBP_BLOOD_VESSEL_REMODELING",0.291175987074676,0.231145364527728,0.17229215959544,0.136047334677582,0.0713419996600597,0.0445902273320257,-0.332064611897792,-0.34261118854122,-0.295640863884961,0.25999076733981,0.26761890190413,0.284991603035796,0.00120016686828419,0.0152342382165884,0.030307785528362,4.23358556212543e-05,0.37054824095404
"GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM",0.105651927054076,0.101348696102961,0.0441635192573909,0.14679954697503,0.0821162070725391,0.176000282001915,-0.307425343300869,-0.247872199317548,-0.135308519231928,0.143371010073349,0.195722919875148,0.103688946626764,0.014992878230863,0.759301536451069,0.214433514597694,0.00677004111205362,0.132685360158017
"GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET",0.0758287301672189,0.165423566592276,-0.0300432315853326,0.269979436168537,0.254573367476866,0.351939435984149,-0.448205183729933,-0.385576725700501,-0.269087193360346,0.307846360313724,0.211079775340944,0.228884751743008,0.00481731842968566,0.368884074602366,0.0394107981535664,0.00157725371538503,0.0669994115031163
"GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT",0.193838323708604,0.0899203784884806,0.00168518933026915,0.0690447784906698,0.252789882911419,0.054470489908533,-0.279318101042378,-0.238416905530006,-0.299861331446321,0.254287115065996,0.0971792700585564,0.267323643956351,0.0149109403316623,0.391778369226808,0.738745481985133,0.00765220307906935,0.227063456643676
"GOBP_SPROUTING_ANGIOGENESIS",0.0365645576948333,0.0466388278194233,0.0825654033588159,0.169934351956739,0.105872855368159,0.133726056366948,-0.219652311113164,-0.297100260669864,-0.135627987164821,0.0430934737403829,0.0211142526293359,0.102192548516878,0.0207757406566543,0.0605351681651414,0.0280469155032178,0.0137946107123003,0.994435785871297
"GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",0.0244777322754398,-0.0963455985946554,0.0200320845366146,0.15733454665477,0.186579552690993,0.280610521635416,-0.258013444478961,-0.277759534759327,-0.108747498526323,-0.087542928365533,0.091353767681945,0.164473415215773,0.0453613327616212,0.168584859229788,0.0143415905374358,0.0477111020058204,0.44920608970086
"GOBP_CHONDROCYTE_DIFFERENTIATION",0.355484456954226,0.177985111859382,0.0230648566391101,0.0260667294987692,0.0498154855250387,0.0152898175433237,-0.32275622463586,-0.32486808549136,-0.0798822953848047,0.139300736019134,0.211293559886343,0.194637001667549,0.0284041630693352,0.0095181143182922,0.24675380801787,0.0280764419789734,0.972664502359575
"GOBP_CHONDROCYTE_DEVELOPMENT",0.348595086071454,0.354649632624653,0.00272572937386367,0.0172943242131877,0.326262111498607,0.118471451861724,-0.444455056157643,-0.468485853701154,-0.152369015147648,0.156629256979544,0.301185659983797,0.227320758650753,0.0193595674096083,0.514634573649252,0.612731793965574,0.0176177227795092,0.959351744359072
"GOBP_EPITHELIAL_CELL_DEVELOPMENT",0.142033759327301,0.0858111379503613,0.028628837343509,0.126710422879937,0.145143486447981,0.158708041773367,-0.310046616563,-0.285439680977408,-0.252064598500766,0.0716955116807267,0.16311456435309,0.233987814264451,0.0021729043115057,0.813417557954316,0.212757611349185,0.00605040148808752,0.291486468829381
"GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION",0.14130478730196,0.123096810956196,0.0637524992099478,0.0670089780313806,0.174084248265525,0.107150966999033,-0.212091249981012,-0.251041186408966,-0.0723282804920386,0.0520184022156909,0.00501329640875234,0.153746111938737,0.0206754276903083,0.447688783507581,0.872728845108502,0.0252302879909169,0.488081525858236
"GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT",0.299903044719654,0.0390140482479907,0.120697352071079,0.128254993086098,0.237974189948721,0.251730353314755,-0.356800468183795,-0.289476699023581,-0.347789014707412,0.0673103385880409,0.152612572861688,0.23706550551047,0.0185341248149169,0.442398292400854,0.584851427141847,0.00415990205618108,0.99288796717447
"GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT",0.247966872597148,0.126812248036668,0.0746787959199602,0.162730880256459,0.264804039378835,0.274263044500981,-0.339640520659249,-0.299513740003171,-0.332756114459889,-0.00381851253781657,0.0730617213941822,0.192695171048526,0.00855567644795315,0.108371743565021,0.2576673915005,0.0153887999134911,0.462066717548917
