"","C08_V_1","C08_V_2","C08_V_3","C08_100_1","C08_100_2","C08_100_3"
"SERGEF",329.234426171041,237.354136014257,322.459824789281,263.30347800222,238.631891905491,234.740703428518
"SUPT16HP1",2.11726319081055,6.32944362704686,0,15.1759929684277,6.50814250651338,7.08651180161563
"PRSS48",0,9.49416544057028,0,0,0,0
"CENPX",679.641484250188,629.779640891162,545.250249189147,470.455782021257,618.273538118771,522.630245369152
"ATP6V0E2",322.882636598609,350.229214029926,327.150149513488,395.33461682754,432.79147668314,342.810008403156
"SUPT6H",8598.20581788166,7908.63981199505,8589.15715120539,7792.11358963918,8206.76770071337,7552.44995257185
"RNU7-170P",6.35178957243166,6.32944362704686,1.17258118105193,0,2.16938083550446,0
"FERMT2",0,12.6588872540937,10.5532306294674,3.03519859368553,0,1.77162795040391
"ITPK1P1",21.1726319081055,3.16472181352343,3.51774354315579,1.51759929684277,1.08469041775223,5.31488385121172
"HNRNPUP1",0,0,1.17258118105193,5.31159753894968,3.25407125325669,1.77162795040391
"PIN1-DT",0,11.6039799829192,9.38064944841544,0,0,3.54325590080781
"BIRC3",67.7524221059377,83.3376744227836,92.6339133031024,67.5331687095031,62.9120442296293,42.5190708096938
"GS1-124K5.4",46.5797901978322,64.349343541643,18.7612988968309,6.07039718737106,30.3713316970624,33.6609310576742
"FOXD2",4.23452638162111,9.49416544057028,16.416136534727,15.1759929684277,27.1172604438057,20.3737214296449
"SMIM2-AS1",12.7035791448633,12.6588872540937,5.86290590525965,0,6.50814250651338,3.54325590080781
"LORICRIN",4.23452638162111,4.2196290846979,14.0709741726232,0,2.16938083550446,3.54325590080781
"SMIM6",6.35178957243166,18.9883308811406,24.6242048020905,15.1759929684277,0,0.885813975201953
