"gene","AD_logFC","AD_padj","AD_label","AD_drug_logFC","AD_drug_padj","AD_drug_label"
"RBM43P1",4.83356408842895,0.0423645005847883,"up",-5.21794909327155,0.022909209523947,"down"
"GLUD2",-1.79750255852707,0.0428082379393527,"down",2.18672660377003,0.00365567314791002,"up"
"ATP5MC2P3",1.91059030498355,0.0434486612517685,"up",-1.74105403076566,0.0209092234639785,"down"
"SPEF1",4.84370642690627,0.0443334040069767,"up",-5.22785263686062,0.0244079572536241,"down"
"SNORD14",4.81413834945472,0.0449888775537767,"up",-5.19879710902704,0.0246726856931266,"down"
"RNU6-826P",2.6365174993497,0.0452082336609505,"up",-3.54291845480136,0.00127807676340033,"down"
"PCDHGB8P",-3.73014599852142,0.0454177695597818,"down",4.32546084642844,0.00735414875179569,"up"
"CXCL14",4.81444559100916,0.0455745082334881,"up",-5.19902575030559,0.0250853920747778,"down"
"MIR766",2.61375720656026,0.0465607221818418,"up",-3.60160082536903,0.00831715355646253,"down"
"RPS14P5",4.82466487095597,0.0470567160423464,"up",-5.20899302207095,0.02621584887221,"down"
"YTHDF1P1",4.82466487095597,0.0470567160423464,"up",-5.20899302207095,0.02621584887221,"down"
"OTUB2",-2.24633060738631,0.0481927737069832,"down",2.15440374836411,0.0492774370425529,"up"
"SND1-IT1",1.73495101597223,0.0489684786352908,"up",-1.75070084470833,0.024601228565276,"down"
"RPS29P20",4.80472050132658,0.0490247555453187,"up",-5.18938899151427,0.0274007421166029,"down"
"RPL37P6",1.78496691319313,0.0491976811544224,"up",-2.05513767711058,0.0138763089906154,"down"
"DIAPH2-AS1",2.22061737477479,0.0493318297753672,"up",-1.71496450622114,0.0371626798666473,"down"
"RGS8",-1.53935855556451,0.0499074880569974,"down",1.82640379404856,0.00433216014039446,"up"
