"","WT_V_1","WT_V_2","WT_V_3","C08_V_1","C08_V_2","C08_V_3"
"MTIF3",640.368939177979,654.981367450788,602.606992482064,989.05408346592,958.295541103842,881.835854139058
"MORC3",2445.84142022561,2019.20854703942,2235.15992309524,1601.37401398948,1630.21554035722,1613.14176629769
"SOBP",114.758318785657,162.79333406117,124.066145511013,27.4173103219506,52.6202409053852,39.3175221590663
"CCDC97",1227.30079861607,1347.09103916114,1271.18566551364,952.49766970332,855.07891471251,879.589138587112
"KPNA3",2833.04124391462,2241.02636479528,2314.91673092375,1385.08189922743,1737.47987758743,1794.0023682294
"CAMK2G",1091.51805501472,1167.16156467248,1110.68739790812,1674.48684151468,1508.78421519095,1515.40963978801
"RAB8B",2742.81142074727,2202.94605273419,2092.38539056272,1470.38019800683,1714.20554026389,1597.41475743406
"C1orf115",1780.94398542932,1826.9029711309,2004.75136714621,1281.50539356673,1348.89963705536,1424.41765993417
"AVPR2",114.758318785657,125.665029801605,167.390831245018,297.528589790056,275.244337043553,289.826306201117
"ARRB2",7899.9276244966,10059.8664387391,9613.15697320653,12562.2054071426,12264.5638417936,12081.7128805931
"LINC01002",41.1728319307319,96.1527879542581,50.2172493735054,209.183923197104,193.278192556319,169.627024171972
"NRBF2",1831.75301206724,1754.55037821483,1828.4986683647,1238.85624417703,1403.54373338018,1300.84830457711
"ATP6AP2",12924.7651554472,12164.7556879159,12117.1268782423,9917.95814498115,10372.2590246192,9808.03674202308
"ZNF267",1439.29708217431,1192.86577531372,1249.52332264663,904.771240624369,891.508312262392,860.492056395565
"ALDH9A1",2119.08681788171,1946.85595412334,1946.65690218471,1506.93661176943,1440.98505863978,1503.05270425231
"HNRNPU",18644.2847230163,17302.7417927588,16686.8965712313,14077.2656664148,14365.3257671702,13924.0196331893
"NDUFA12",1409.51248035208,1437.53178030623,1466.14675131666,1961.86087192624,1839.68457626904,2036.64764783963
"MIOS",1778.31593232736,1651.73353564988,1581.35102929117,1137.31065039202,1265.9215648584,1185.14245365186
"NOL8",2257.49761458502,1798.34273708508,2014.59788663122,2854.44664129641,2684.64421388436,2898.26306201117
"ERF",800.680178397638,995.800160397564,1023.05337449161,1468.34928613113,1487.53373328685,1294.10815792127
"KIAA1958",702.566195924404,614.045031985113,612.453511967066,424.460582021309,310.661806883717,392.05186381469
"EEA1",2206.6885879471,1789.77466687134,1719.20230208118,1319.07726326718,1243.65915524459,1352.52276227188
"RNF207",52.5610620392322,55.2164524885839,91.5726312105098,168.565685683103,199.349758814632,178.613886379758
"DTX3",86.7257523647332,138.04113122146,147.697792275016,283.312206660156,267.148915365802,292.073021753064
"SLC38A1",1986.80814508298,1708.85400374152,1879.7005696867,1290.64449700738,1376.22168521777,1355.8928355998
"MOV10",845.357081130985,1099.56901076404,1018.13011474911,1503.89024395588,1447.05662489809,1430.03444881404
"SMIM13",1023.18867436372,1008.17626181742,862.555106886092,604.196283020762,624.35939689659,674.014665583994
"UBAP1L",87.601770065387,107.576881572586,130.958709150514,239.647601332605,228.695662396482,265.112435129704
"CHCHD10",1357.8274360135,1692.66987111555,1688.67809167768,2265.4821973434,2496.42565987664,2105.17247217401
"PPID",460.785310543936,490.284017786563,393.860779400042,280.265838846606,186.194698588286,231.411701850504
"POLR3B",522.106549589707,467.435830549908,411.584514473044,191.921172253654,190.242409427162,306.676672840717
"BCL2L11",608.83230195444,430.307526290343,461.801763846549,260.972176027455,300.542529786527,202.204399675198
"ABCB7",1432.28894056908,1278.54647745117,1194.38281353063,847.905708104767,902.6395170693,927.893522953964
"C1orf52",443.264956530858,361.762964580377,449.001288516048,792.055631523016,611.204336670243,711.085472191113
"CD3D",85.8497346640793,126.617037603132,94.5265870560101,272.142191343806,214.528674460417,226.918270746611
"TFAP4",304.854159827547,355.098909969686,374.16774043004,529.052543619861,628.407107735466,586.392759058074
"FBXO34",793.672036792407,732.0939993745,756.212696448081,508.74342486286,474.594095858186,507.757714739942
"ZNF7",518.602478787091,540.740431267511,517.926924911055,832.673869037017,726.564095578203,909.919798538391
"TUFM",5263.99036322911,6199.47480354583,6174.75236904416,4650.7881953531,4441.35071795645,4165.41063330908
"SPATS2L",308.358230630162,365.570995786486,280.62580532253,171.612053496654,125.479036005149,162.886877516132
"CDKN1C",30.6606195228855,40.9363354656742,30.5242104035033,178.720245061604,89.0496384552673,107.842346493439
"NAT9",1038.95699297549,1235.70612638245,1388.35924738515,1848.12980688704,1754.68264865265,1770.41185493396
"DOK1",2151.49947280591,2210.56211514641,2226.29805555874,1718.15144684224,1615.03662471144,1636.73227959313
"ERCC3",1391.11610863835,1534.63657606202,1655.19992542868,2073.56102508974,2030.93891340593,2311.8703029531
"IMPDH2",3541.7395637436,3813.7432529184,3788.94069782841,2992.54864884401,2858.69577995602,2638.76741576133
"NME6",1210.65646230365,1217.61797815343,1218.99911224313,894.616681245868,847.995420744477,845.888405307912
"TAF15",7647.63452670829,8018.76171226451,8596.01151040592,10415.5315545277,9853.14010953338,10269.7367879481
"SETD4",467.793452149167,433.163549694925,432.262205391546,760.576497449666,666.860360704786,672.89130780802
"TTC32",191.847876443198,175.169435481025,154.590355914517,288.389486349406,361.258192369664,387.558432710796
"ENOX1-AS1",7.88415930588483,7.61606241221846,3.93860779400042,36.5564137626007,34.4055421304442,121.322639805119
"DHX15",6359.8885067471,5982.4170247976,5811.41580004762,4977.7650073408,4716.59505500001,4474.33402170174
"CTDSP1",1797.58832174174,2086.80110094786,2082.53887107772,1303.84542419943,1535.09433564364,1363.75634003161
"RDH11",3481.29434239848,3256.81868902492,3273.96772876285,4213.12668613974,4156.99903152543,4427.15299511086
"RBSN",773.523629677368,870.135130595959,695.164275641074,511.78979267641,482.689517535937,485.290559220475
"BCKDK",1170.35964807357,1399.45146824514,1358.81968893015,899.693960935119,833.828432808412,943.620531817591
"PTRH2",565.031416921746,559.780587298057,589.806517151563,909.848520313619,798.410962968249,875.095707483218
"UBR2",2444.0893848243,2170.57778748226,2042.16814118922,1480.53475738533,1621.10819096975,1668.18629732038
"ADCK5",389.827876790972,503.612127007946,487.402714507552,774.792880579566,741.743011223988,713.33218774306
"POLR2J",613.212390457709,760.654233420319,644.947026267569,1079.42966193457,919.842288134522,1214.34975582716
"STK39",547.511062908669,506.468150412528,469.67897943455,304.636781355006,222.624096138168,313.416819496557
"GLE1",1717.87071098224,1557.48476329868,1732.98742936019,1284.55176138028,1164.72879388651,1095.27383157399
"RAB35",1490.98212651289,1833.56702574159,1796.98980601269,1244.94897980413,1173.83614327398,1133.46799595708
"YPEL3-DT",106.874159479772,80.9206631298212,103.388454592511,13.2009271920503,18.214698774941,34.824091055173
"GLT1D1",40.296814230078,53.3124368855292,33.4781662490036,0,0,1.12335777597332
"NUDCD3",1484.85000260831,1841.18308815381,1966.34994115471,1257.13445105833,1169.7884324351,1146.94828926876
"SPRY2",2638.56531436946,2851.26336557429,2746.19428436679,2094.88559978459,2134.15553979726,2088.32210553441
"NDUFV2-AS1",36.7927434274626,30.4642496488738,28.5549065065031,120.839256604152,106.252409520489,95.4854109577324
"ASIC1",307.482212929509,337.962769542194,381.060304069541,170.596597558803,152.801084167561,199.957684123251
"ETFA",2839.17336781919,2691.3260549177,2819.0585285558,1853.20708657629,2185.76385299292,2141.11992100515
"BCL2A1",123.518495792196,139.945146824514,129.974057202014,239.647601332605,284.351686431024,281.962801769304
"DENND3",15459.9603811395,16107.0199940405,15764.2776954867,19231.7200069415,18932.1555211318,18918.4683051667
"MSH5-SAPCD1",9.63619470719257,17.1361404274915,13.7851272790015,67.0200918981014,59.7037348734178,83.1284754220259
"METAP2",3423.47717415533,2974.07237197131,3015.00426630732,4146.10659424164,3993.06674255096,4219.3318065558
"TPGS2",1899.20637501759,2119.16936619979,2087.46213082022,1423.66922486573,1566.46409464493,1487.32569538868
"PLEKHA7",236.524779176545,294.170410671938,352.505397563038,162.472950056003,117.383614327398,107.842346493439
"LMO4",952.231240610757,945.343746916617,1049.63897710111,1524.19936271288,1343.83999850676,1343.53590006409
"TRAF1",229.516637571314,242.761989389463,245.178335176526,486.40339423016,385.544457402919,412.272303782209
"TCTN3",806.812302302215,875.847177405123,737.504309426579,530.067999557711,527.214336763571,520.114650275648
"ZNF76",994.280090242143,1071.00877671822,1134.31904467212,1460.22563862833,1460.21168512444,1561.46730860292
"PTPRA",1861.53761388947,1986.84028178749,1882.6545255322,1415.54557736293,1473.36674535079,1355.8928355998
"HECA",3325.36319168209,2880.77560742163,2948.04793380932,2272.59038890835,2295.05204564257,2325.35059626478
"SNHG19",154.179115315081,240.857973786409,237.301119588525,430.553317648409,379.472891144605,443.726321509462
"VARS1",5351.59213329449,5992.8891106144,6013.26944949014,4637.58726816105,4543.55541663807,4160.91720220519
"ZNF182",389.827876790972,326.538675923867,386.968215760541,662.077271478214,576.798794539799,581.899327954181
"DMAP1",1207.15239150103,1184.29770509997,1328.29547852664,1789.23336249174,1740.51566071659,1619.88191295353
"CNPY2",162.93929232162,99.00881135884,121.112189665513,258.941264151755,269.17277078524,335.883975016023
"L3MBTL1",241.780885380468,219.913802152808,274.717893631529,451.877892343259,451.31975853465,403.285441574423
"RASSF8-AS1",169.947433926851,121.856998595495,196.930389700021,378.765064818058,285.363614140743,379.694928278983
"ARPIN",2039.36920712221,2001.1203988104,2084.50817497472,1602.38946992733,1463.2474682536,1513.16292423607
"CD82",306.606195228855,369.379026992595,418.477078112545,159.426582242453,173.03963836194,215.684692986878
"AHNAK2",756.00327566429,737.806046183664,709.934054868576,528.037087682011,436.140842888866,406.655514902343
"MRPL24",815.572479308753,971.047957557854,955.112390045102,1313.99998357793,1269.96927569728,1379.48334889524
"NDUFA6-DT",27.15654872027,35.2242886565104,46.278641579505,130.993815982653,83.9899999066725,181.983959707678
"ELMO3",148.923009111158,137.089123419932,146.713140326516,359.471401998907,283.339758721305,251.632141818024
"RPS19BP1",1425.28079896385,1609.84519238268,1595.13615657017,2015.68003663229,2155.40602170136,2105.17247217401
"ZMYND8",1871.17380859667,1928.76780589433,1778.28141899119,2403.584204891,2396.24481661446,2609.56011358603
"ZNF414",253.169115488969,288.458363862774,344.628181975037,509.75888080071,506.975782569192,521.238008051622
"KLHL5",3292.07451905724,2944.56013012396,2817.0892246588,3749.06332254228,4089.19987497426,4281.11648423433
"THOC5",944.347081304872,941.535715710507,895.048621186596,675.278198670264,613.228192089681,558.308814658741
"GPT",42.9248673320396,78.0646397252392,68.9256363950074,177.704789123754,173.03963836194,164.010235292105
"SLC2A4RG",277.697611107277,375.091073801759,417.492426164045,596.072635517962,699.242047415792,602.119767921701
"OCRL",1174.73973657684,1142.40936183277,1046.68502125561,1648.08498713058,1480.45023931882,1568.20745525876
"POLG2",1067.86557709707,916.783512870797,1036.83850177061,1488.65840488813,1317.52987805407,1607.52497741782
"MAP3K4",1136.19495774807,1009.12826961895,1021.08407059461,698.633685240814,769.065059386399,680.754812239833
"ZFAS1",580.799735533516,525.508306443074,491.341322301553,748.391026195465,887.460601423516,854.875267515699
"KIN",531.742744296899,506.468150412528,525.804140499056,719.958259935665,834.840360518131,848.135120859858
"SNRNP35",460.785310543936,436.019573099507,405.676602782043,651.922712099713,693.170481157478,688.618316671647
