"","WT_10_1","WT_10_2","WT_10_3","WT_100_1","WT_100_2","WT_100_3"
"PARD6G",28.0603601451859,56.6723361024754,29.1032780675802,34.0949371217889,26.4958386071378,29.0266459265136
"HCP5",103.607483612994,87.1074795649158,88.2193116423524,102.284811365367,58.2908449357032,78.6528470266821
"QPCT",215.848924193737,248.728586227531,252.834728212103,241.505804612671,218.325710122816,195.695774149721
"SFTPD",28.0603601451859,10.494877056014,4.5473871980594,18.9416317343272,30.7351727842799,12.172464420796
"HAL",58.2792095323091,70.3156762752935,44.5643945409821,58.7190583764142,73.1285145557004,73.0347865247762
"P2RY1",527.750619653688,488.011783104649,514.764230820324,608.026378671902,415.454749359921,388.582518048489
"KRBA2",82.0225911936202,90.25594268172,137.331093381394,113.649790405963,116.581689871406,125.470017875898
"SUCLG1",1608.07448524334,1478.72817719237,1604.31820347536,1690.5406322887,1566.43397845399,1622.68314163381
"TEFM",428.460114524569,377.815574016502,386.527911835049,371.255981992812,372.001574044215,369.855649708803
"C2orf92",111.162195959775,161.621106662615,229.188314782194,202.675459557301,166.393866452825,200.377491234642
"ZNF569",262.256442895391,239.283196877118,345.601427052515,317.27233154998,342.326234804221,269.666904091482
"DNMT3A",1934.00636077589,1830.30655856883,1772.57152980356,1639.39822660602,1814.4350278168,1866.13243004973
"RAMACL",11.8716908306556,10.494877056014,30.9222329468039,17.0474685608944,34.9745069614219,21.5358985906391
"RPUSD3",740.361809984519,821.748873485893,891.287890819643,825.855143616664,912.516681629826,851.136166038738
"INSL6",21.5848924193737,26.2371926400349,30.9222329468039,37.8832634686543,26.4958386071378,35.5810498454038
"CDC25C",141.381045346898,174.214959129832,161.886984250915,195.09880686357,201.368373414247,137.642482296694
"HVCN1",2442.33057725214,2318.31834167348,2508.33877844957,2090.209061883,2545.7201733738,2351.1583200476
"ZNF516-AS1",32.3773386290606,23.0887295232307,38.198052463699,35.9891002952216,31.7950063285654,49.6262011001685
"GCNT2",143.539534588835,144.829303372993,177.348100724317,182.786746236257,157.915198098541,176.968905810035
"EEF1B2",11958.030400333,12147.8201923362,11616.7553361626,12503.3711078294,10579.258439058,11581.6317246789
"MGST2",1202.27850775912,1122.95184499349,1146.85105135058,1037.05433745441,1144.62022782835,1139.52993846991
"PLEKHG6",35.6150724919667,45.12797134086,22.736935990297,59.6661399631305,28.6155056957088,41.1991103473097
"COX18",1003.69749750088,914.103791578815,975.869292703548,952.764076236656,1093.74821770265,991.587678586385
"DNAJC11",1934.00636077589,2132.55901778204,1958.10492748438,1877.11570487182,1864.24720439822,2055.27380028056
"FIZ1",470.550654742347,442.883811763789,508.397888743041,488.694098745641,572.310113914177,460.680961156281
"ZNRF3",112.241440580743,147.977766489797,150.06377753596,110.808545645814,111.282522149979,141.387855964631
"TRIM41",1732.18761665474,1804.0693659288,1595.22342907924,1775.77797509317,1816.55469490537,1739.72606875685
"CDC42EP3",1383.59160408186,1387.42274680504,1512.46098207456,1409.25740103394,1336.45009934403,1367.99773221408
"SPATA6",55.041475669403,29.3856557568391,30.9222329468039,71.9782005904432,42.3933417714205,29.9629893434979
"FOXJ2",1376.03689173508,1276.1770500113,1364.21615941782,1457.55856195647,1113.88505504407,1247.2094314231
"CAMKK2",1283.22185433177,1456.68893537474,1367.85406917627,1417.78113531439,1300.41575883832,1207.88300790976
